date,FAB Integration Zone,Gas/Chemical Supply,Main FAB,Multiple Buildings,Project-Wide,Support East,Support West,Unknown
2022-11-07,0,0,0,3,1,20,0,0
2022-11-22,0,0,0,21,8,227,180,0
2022-12-05,0,0,0,84,46,478,450,0
2022-12-07,0,0,0,70,22,258,251,0
2022-12-26,0,0,0,21,29,149,144,0
2023-01-09,0,0,4,43,35,149,182,0
2023-01-18,0,0,4,50,32,140,124,0
2023-01-30,0,0,7,47,42,185,156,0
2023-03-26,1,0,4,57,49,451,663,0
2023-04-09,0,0,4,130,84,684,900,0
2023-04-23,1,0,3,55,32,358,480,0
2023-05-07,0,0,2,37,37,259,389,0
2023-05-22,0,0,1,20,42,511,521,0
2023-06-04,0,0,1,17,49,419,507,0
2023-06-18,0,0,2,24,106,1062,1272,0
2023-07-02,0,0,2,15,60,464,691,0
2023-07-16,0,0,5,7,55,445,660,0
2023-08-20,0,0,2,100,64,517,586,1
2023-09-03,0,0,22,123,37,542,602,13
2023-09-15,0,0,1,39,10,134,285,4
2023-10-01,0,0,10,336,34,462,637,10
2023-10-15,0,0,19,432,32,533,697,12
2023-10-29,11,0,21,672,62,641,723,28
2023-11-26,11,12,14,768,46,915,514,15
2023-12-10,11,12,11,761,51,875,465,16
2023-12-31,22,24,40,1629,93,1721,911,31
2024-01-21,10,12,27,896,41,869,449,15
2024-02-04,11,12,25,880,35,851,397,20
2024-02-09,13,9,23,946,36,854,413,23
2024-03-22,11,8,22,1055,22,655,291,29
2024-04-08,13,8,23,1037,24,633,308,82
2024-04-19,13,8,4,1099,22,582,296,89
2024-05-31,12,8,3,943,28,515,346,111
2024-06-14,8,8,2,994,22,464,296,113
2024-06-28,6,10,1,982,26,406,258,132
2024-07-12,6,9,2,937,30,398,247,133
2024-08-09,17,10,2,854,22,386,246,337
2024-08-23,15,10,2,804,23,338,227,335
2024-09-20,16,10,2,643,20,282,189,397
2024-10-04,15,10,7,592,18,245,169,392
2024-10-18,15,9,7,570,18,228,144,530
2024-11-01,16,9,7,515,20,197,118,506
2024-11-29,14,9,1,450,17,202,114,480
2024-12-13,15,11,1,483,17,227,128,483
2024-12-27,14,11,1,469,17,228,128,481
2025-01-10,18,22,8,894,30,450,270,938
2025-01-24,9,8,3,363,25,227,177,476
2025-02-07,9,8,4,366,27,292,240,468
2025-02-21,9,8,3,348,27,301,240,452
2025-03-28,0,0,0,0,1,0,0,10
2025-04-04,0,0,0,0,1,0,0,10
2025-05-02,0,0,0,0,1,0,0,10
2025-05-23,0,0,0,10,2,0,0,0
2025-06-06,0,0,0,12,2,0,0,0
2025-07-18,0,0,0,0,2,0,0,6
2025-08-22,0,0,4,38,20,0,1,7
2025-09-12,22,0,42,21,8,13,12,0
2025-10-03,4,0,10,35,7,2,8,10
2025-10-17,12,0,18,82,22,28,34,60
2025-10-31,47,0,55,38,13,277,266,69
2025-11-20,63,1,69,64,48,506,454,84
