date,dimension,category,tasks,duration,avg_float,total_cp_tasks,total_cp_duration
2022-11-07,scope,Cast-in-Place,1,5.0,-0.75,24,417.0
2022-11-07,scope,Doors & Hardware,1,10.0,-0.75,24,417.0
2022-11-07,scope,Drywall,1,24.0,-0.75,24,417.0
2022-11-07,scope,Fabrication,1,5.0,-0.625,24,417.0
2022-11-07,scope,Finishes,2,20.0,-0.75,24,417.0
2022-11-07,scope,Framing,4,96.0,-0.75,24,417.0
2022-11-07,scope,Glazing,1,10.0,-0.75,24,417.0
2022-11-07,scope,MEP Rough-in,1,24.0,-0.75,24,417.0
2022-11-07,scope,Structural Steel,11,223.0,-0.75,24,417.0
2022-11-07,scope,Turnover,1,0.0,-0.75,24,417.0
2022-11-07,building,Multiple Buildings,3,17.0,-0.7083333333333334,24,417.0
2022-11-07,building,Project-Wide,1,0.0,-0.75,24,417.0
2022-11-07,building,Support East,20,400.0,-0.75,24,417.0
2022-11-07,level,Multiple Levels,23,417.0,-0.7445652173913043,24,417.0
2022-11-07,level,Project-Wide,1,0.0,-0.75,24,417.0
2022-11-07,phase,Commissioning,1,0.0,-0.75,24,417.0
2022-11-07,phase,Enclosure,1,10.0,-0.75,24,417.0
2022-11-07,phase,Interior,9,174.0,-0.75,24,417.0
2022-11-07,phase,Pre-Construction,1,5.0,-0.625,24,417.0
2022-11-07,phase,Structure,12,228.0,-0.75,24,417.0
2022-11-22,scope,Cast-in-Place,142,1479.25,-35.36971830985915,436,6195.75
2022-11-22,scope,Design,1,109.0,-1.375,436,6195.75
2022-11-22,scope,Doors & Hardware,10,100.0,-37.35,436,6195.75
2022-11-22,scope,Drywall,10,240.0,-37.35,436,6195.75
2022-11-22,scope,Fabrication,7,197.5,-23.875,436,6195.75
2022-11-22,scope,Finishes,32,304.0,-34.34375,436,6195.75
2022-11-22,scope,Framing,16,384.0,-47.4375,436,6195.75
2022-11-22,scope,Glazing,10,100.0,-37.35,436,6195.75
2022-11-22,scope,MEP Rough-in,10,240.0,-37.35,436,6195.75
2022-11-22,scope,Owner Activities,2,0.0,-42.875,436,6195.75
2022-11-22,scope,Panels,15,225.0,-40.166666666666664,436,6195.75
2022-11-22,scope,Precast,19,152.0,-36.56578947368421,436,6195.75
2022-11-22,scope,Roofing,24,354.0,-31.458333333333332,436,6195.75
2022-11-22,scope,Stairs,16,160.0,-27.34375,436,6195.75
2022-11-22,scope,Structural Steel,118,2116.0,-33.585805084745765,436,6195.75
2022-11-22,scope,Submittals,2,25.0,-47.0,436,6195.75
2022-11-22,scope,Turnover,1,0.0,-59.25,436,6195.75
2022-11-22,scope,Underground,1,10.0,-31.25,436,6195.75
2022-11-22,building,Multiple Buildings,21,173.25,-6.863095238095238,436,6195.75
2022-11-22,building,Project-Wide,8,241.5,-26.3125,436,6195.75
2022-11-22,building,Support East,227,3220.0,-37.92015418502203,436,6195.75
2022-11-22,building,Support West,180,2561.0,-35.02013888888889,436,6195.75
2022-11-22,level,Level 2,38,266.0,-36.56578947368421,436,6195.75
2022-11-22,level,Level 3,38,266.0,-36.56578947368421,436,6195.75
2022-11-22,level,Multiple Levels,348,5370.25,-34.73742816091954,436,6195.75
2022-11-22,level,Project-Wide,12,293.5,-33.208333333333336,436,6195.75
2022-11-22,phase,Administrative,2,0.0,-42.875,436,6195.75
2022-11-22,phase,Commissioning,1,0.0,-59.25,436,6195.75
2022-11-22,phase,Enclosure,49,679.0,-35.326530612244895,436,6195.75
2022-11-22,phase,Interior,94,1428.0,-36.340425531914896,436,6195.75
2022-11-22,phase,Pre-Construction,10,331.5,-26.25,436,6195.75
2022-11-22,phase,Structure,280,3757.25,-34.684375,436,6195.75
2022-12-05,scope,Cast-in-Place,166,1686.25,-49.707078313253014,529,7000.625
2022-12-05,scope,Doors & Hardware,13,130.0,-43.625,529,7000.625
2022-12-05,scope,Drywall,13,312.0,-43.625,529,7000.625
2022-12-05,scope,Fabrication,8,165.0,-56.453125,529,7000.625
2022-12-05,scope,Finishes,41,394.0,-41.36890243902439,529,7000.625
2022-12-05,scope,Foundations,1,5.0,-31.5,529,7000.625
2022-12-05,scope,Framing,18,432.0,-56.72222222222222,529,7000.625
2022-12-05,scope,Glazing,13,130.0,-43.625,529,7000.625
2022-12-05,scope,MEP Rough-in,13,312.0,-43.625,529,7000.625
2022-12-05,scope,Owner Activities,2,0.0,-53.4375,529,7000.625
2022-12-05,scope,Panels,16,240.0,-43.953125,529,7000.625
2022-12-05,scope,Piers,1,3.0,-31.5,529,7000.625
2022-12-05,scope,Precast,19,152.0,-42.83552631578947,529,7000.625
2022-12-05,scope,Roofing,26,384.0,-36.32692307692308,529,7000.625
2022-12-05,scope,Stairs,17,170.0,-34.654411764705884,529,7000.625
2022-12-05,scope,Structural Steel,155,2378.375,-42.95483870967742,529,7000.625
2022-12-05,scope,Submittals,4,97.0,-54.3125,529,7000.625
2022-12-05,scope,Turnover,2,0.0,-46.875,529,7000.625
2022-12-05,scope,Underground,1,10.0,-43.875,529,7000.625
2022-12-05,building,Multiple Buildings,42,340.625,-16.166666666666668,529,7000.625
2022-12-05,building,Project-Wide,23,197.0,-25.777173913043477,529,7000.625
2022-12-05,building,Support East,239,3277.0,-52.93880753138075,529,7000.625
2022-12-05,building,Support West,225,3186.0,-44.435,529,7000.625
2022-12-05,level,Level 1,7,38.0,-22.071428571428573,529,7000.625
2022-12-05,level,Level 2,40,280.0,-57.0875,529,7000.625
2022-12-05,level,Level 3,40,280.0,-57.0875,529,7000.625
2022-12-05,level,Multiple Levels,418,6200.625,-44.38636363636363,529,7000.625
2022-12-05,level,Project-Wide,24,202.0,-26.963541666666668,529,7000.625
2022-12-05,phase,Administrative,2,0.0,-53.4375,529,7000.625
2022-12-05,phase,Commissioning,2,0.0,-46.875,529,7000.625
2022-12-05,phase,Enclosure,55,754.0,-40.27045454545455,529,7000.625
2022-12-05,phase,Interior,115,1750.0,-43.5445652173913,529,7000.625
2022-12-05,phase,Pre-Construction,12,262.0,-55.739583333333336,529,7000.625
2022-12-05,phase,Structure,343,4234.625,-46.15196793002915,529,7000.625
2022-12-05,scope,Cast-in-Place,166,1686.25,-49.707078313253014,529,7000.625
2022-12-05,scope,Doors & Hardware,13,130.0,-43.625,529,7000.625
2022-12-05,scope,Drywall,13,312.0,-43.625,529,7000.625
2022-12-05,scope,Fabrication,8,165.0,-56.453125,529,7000.625
2022-12-05,scope,Finishes,41,394.0,-41.36890243902439,529,7000.625
2022-12-05,scope,Foundations,1,5.0,-31.5,529,7000.625
2022-12-05,scope,Framing,18,432.0,-56.72222222222222,529,7000.625
2022-12-05,scope,Glazing,13,130.0,-43.625,529,7000.625
2022-12-05,scope,MEP Rough-in,13,312.0,-43.625,529,7000.625
2022-12-05,scope,Owner Activities,2,0.0,-53.4375,529,7000.625
2022-12-05,scope,Panels,16,240.0,-43.953125,529,7000.625
2022-12-05,scope,Piers,1,3.0,-31.5,529,7000.625
2022-12-05,scope,Precast,19,152.0,-42.83552631578947,529,7000.625
2022-12-05,scope,Roofing,26,384.0,-36.32692307692308,529,7000.625
2022-12-05,scope,Stairs,17,170.0,-34.654411764705884,529,7000.625
2022-12-05,scope,Structural Steel,155,2378.375,-42.95483870967742,529,7000.625
2022-12-05,scope,Submittals,4,97.0,-54.3125,529,7000.625
2022-12-05,scope,Turnover,2,0.0,-46.875,529,7000.625
2022-12-05,scope,Underground,1,10.0,-43.875,529,7000.625
2022-12-05,building,Multiple Buildings,42,340.625,-16.166666666666668,529,7000.625
2022-12-05,building,Project-Wide,23,197.0,-25.777173913043477,529,7000.625
2022-12-05,building,Support East,239,3277.0,-52.93880753138075,529,7000.625
2022-12-05,building,Support West,225,3186.0,-44.435,529,7000.625
2022-12-05,level,Level 1,7,38.0,-22.071428571428573,529,7000.625
2022-12-05,level,Level 2,40,280.0,-57.0875,529,7000.625
2022-12-05,level,Level 3,40,280.0,-57.0875,529,7000.625
2022-12-05,level,Multiple Levels,418,6200.625,-44.38636363636363,529,7000.625
2022-12-05,level,Project-Wide,24,202.0,-26.963541666666668,529,7000.625
2022-12-05,phase,Administrative,2,0.0,-53.4375,529,7000.625
