date,Cast-in-Place,Doors & Hardware,Drywall,Finishes,Framing,MEP Rough-in,Panels,Roofing,Stairs,Structural Steel
2022-11-07,1,1,1,2,4,1,0,0,0,11
2022-11-22,142,10,10,32,16,10,15,24,16,118
2022-12-05,332,26,26,82,36,26,32,52,34,310
2022-12-07,186,16,16,52,20,16,19,32,19,168
2022-12-26,54,8,8,24,18,8,18,25,9,133
2023-01-09,77,8,8,31,20,8,20,42,7,148
2023-01-18,62,7,7,21,20,7,14,19,6,141
2023-01-30,123,7,7,21,18,7,12,30,4,153
2023-03-26,362,18,58,71,19,20,23,128,3,397
2023-04-09,502,22,86,88,34,32,32,164,2,590
2023-04-23,264,14,46,48,17,16,15,86,1,307
2023-05-07,205,16,44,55,2,2,16,54,1,224
2023-05-22,305,47,135,123,9,10,13,77,4,232
2023-06-04,305,37,109,105,9,10,12,72,4,204
2023-06-18,660,96,252,246,42,56,56,168,12,588
2023-07-02,346,45,110,115,30,36,33,52,10,310
2023-07-16,331,46,114,115,33,39,34,52,10,270
2023-08-20,243,61,151,152,51,69,38,72,10,262
2023-09-03,240,51,169,119,56,140,43,73,12,283
2023-09-15,63,21,45,53,15,28,21,10,3,140
2023-10-01,211,44,219,153,98,135,28,156,6,279
2023-10-15,239,44,290,168,133,166,35,184,13,277
2023-10-29,431,50,314,189,139,183,47,252,14,331
2023-11-26,438,72,330,211,129,182,64,273,16,299
2023-12-10,411,73,315,209,120,133,72,261,13,314
2023-12-31,771,146,593,458,231,272,162,524,26,677
2024-01-21,391,73,278,249,108,135,89,287,13,368
2024-02-04,375,73,259,259,102,156,94,262,13,353
2024-02-09,363,73,255,259,99,154,99,312,16,354
2024-03-22,251,83,201,261,63,141,139,371,13,292
2024-04-08,230,76,228,250,64,145,130,366,25,283
2024-04-19,234,76,221,251,62,151,124,382,20,265
2024-05-31,209,77,299,210,57,118,112,357,18,204
2024-06-14,235,77,281,215,66,96,110,302,16,166
2024-06-28,268,77,273,188,63,75,91,260,15,126
2024-07-12,250,78,269,184,62,74,73,251,19,116
2024-08-09,229,79,257,177,60,77,59,271,131,129
2024-08-23,216,79,219,177,63,77,56,243,125,105
2024-09-20,140,108,173,175,76,77,41,183,112,90
2024-10-04,120,108,150,177,66,76,38,173,102,80
2024-10-18,96,126,210,174,80,78,41,162,127,70
2024-11-01,92,126,196,154,77,68,35,129,110,72
2024-11-29,75,131,193,144,74,79,29,98,108,56
2024-12-13,75,155,191,145,85,127,30,91,112,56
2024-12-27,75,156,191,142,86,129,21,87,112,56
2025-01-10,138,312,382,274,172,252,44,174,240,92
2025-01-24,64,132,202,177,87,95,22,88,117,45
2025-02-07,63,204,208,188,119,98,25,83,119,43
2025-02-21,59,205,205,189,116,94,24,65,116,42
2025-03-28,1,1,1,0,2,0,0,0,0,1
2025-04-04,1,1,2,0,2,0,0,0,0,1
2025-05-02,1,1,1,0,2,0,0,0,0,1
2025-05-23,0,0,0,0,0,0,1,1,0,1
2025-06-06,0,0,0,0,0,0,2,1,0,1
2025-07-18,0,2,0,1,1,0,0,0,0,2
2025-08-22,0,1,2,3,2,1,24,4,0,4
2025-09-12,0,45,0,37,0,0,19,3,0,0
2025-10-03,2,2,2,1,1,0,17,9,8,3
2025-10-17,36,2,12,16,6,8,44,12,22,4
2025-10-31,20,8,8,587,1,8,18,8,30,3
2025-11-20,28,270,30,659,5,46,24,13,29,16
