schedule_date,early_end_date,late_end_date,float_days,early_slip,late_slip
2022-10-10,2023-09-09,2023-10-14,35,,
2022-10-10,2023-09-09,2023-10-14,35,0.0,0.0
2022-10-10,2023-09-09,2023-10-14,35,0.0,0.0
2022-10-17,2023-09-09,2023-10-14,35,0.0,0.0
2022-10-21,2023-08-30,2023-10-14,45,-11.0,0.0
2022-11-07,2023-09-22,2023-09-21,-1,23.0,-23.0
2022-11-22,2023-12-01,2023-09-21,-71,69.0,0.0
2022-12-05,2023-12-16,2023-09-21,-86,15.0,0.0
2022-12-05,2023-12-16,2023-09-21,-86,0.0,0.0
2022-12-07,2024-01-03,2023-09-21,-104,17.0,0.0
2022-12-26,2023-12-12,2023-10-14,-59,-23.0,22.0
2023-01-09,2024-01-15,2023-10-14,-93,34.0,0.0
2023-01-18,2023-12-07,2023-10-14,-54,-40.0,0.0
2023-01-30,2023-12-02,2023-10-14,-49,-5.0,0.0
2023-03-26,2024-03-04,2023-10-14,-142,92.0,0.0
2023-04-09,2024-01-12,2023-10-14,-90,-52.0,0.0
2023-04-09,2024-01-12,2023-10-14,-90,0.0,0.0
2023-04-23,2023-12-28,2023-10-14,-76,-15.0,0.0
2023-05-07,2023-12-23,2023-10-14,-70,-6.0,0.0
2023-05-22,2023-12-14,2023-10-14,-61,-10.0,0.0
2023-06-04,2023-12-19,2023-10-14,-66,4.0,0.0
2023-06-18,2024-01-09,2023-10-14,-87,21.0,0.0
2023-06-18,2024-01-09,2023-10-14,-87,0.0,0.0
2023-07-02,2024-01-12,2023-10-14,-90,3.0,0.0
2023-07-16,2023-12-28,2023-10-14,-76,-15.0,0.0
2023-08-20,2024-01-26,2023-10-14,-104,28.0,0.0
2023-09-03,2024-01-15,2023-10-14,-94,-11.0,0.0
2023-09-15,2024-01-29,2023-11-30,-60,13.0,46.0
2023-10-01,2024-02-14,2023-11-30,-76,15.0,0.0
2023-10-15,2024-02-07,2023-11-30,-69,-7.0,0.0
2023-10-29,2024-02-19,2023-11-30,-81,11.0,0.0
2023-11-26,2024-03-18,2023-11-30,-109,28.0,0.0
2023-12-10,2024-04-09,2023-11-30,-131,21.0,0.0
2023-12-31,2024-06-20,2023-11-30,-203,71.0,0.0
2023-12-31,2024-04-15,2023-11-30,-137,-66.0,0.0
2024-01-21,2024-06-30,2023-11-30,-214,76.0,0.0
2024-02-04,2024-08-02,2023-11-30,-246,32.0,0.0
2024-02-09,2024-08-06,2023-11-30,-250,4.0,0.0
2024-03-22,2024-07-15,2023-11-30,-228,-22.0,0.0
2024-04-08,2024-11-23,2023-11-30,-359,130.0,0.0
2024-04-19,2025-02-25,2023-11-30,-453,94.0,0.0
2024-05-31,2025-02-18,2023-11-30,-446,-7.0,0.0
2024-06-14,2025-02-10,2023-11-30,-438,-8.0,0.0
2024-06-28,2025-02-25,2023-11-30,-453,15.0,0.0
2024-07-12,2025-02-18,2023-11-30,-446,-7.0,0.0
2024-08-09,2025-04-10,2023-11-30,-497,51.0,0.0
2024-08-23,2025-04-08,2023-11-30,-495,-2.0,0.0
2024-09-20,2025-06-30,2023-11-30,-578,83.0,0.0
2024-10-04,2025-07-08,2023-11-30,-586,8.0,0.0
2024-10-18,2025-04-26,2023-11-30,-513,-73.0,0.0
2024-11-01,2025-05-07,2023-11-30,-524,11.0,0.0
2024-11-29,2025-05-20,2023-11-30,-537,13.0,0.0
2024-12-13,2025-06-07,2023-11-30,-555,18.0,0.0
2024-12-27,2025-06-19,2023-11-30,-567,12.0,0.0
2025-01-10,2025-07-02,2023-11-30,-580,13.0,0.0
2025-01-10,2025-07-02,2023-11-30,-580,0.0,0.0
2025-01-24,2025-07-19,2023-11-30,-597,17.0,0.0
2025-02-07,2025-08-06,2023-11-30,-615,18.0,0.0
2025-02-21,2025-07-26,2023-11-30,-604,-11.0,0.0
2025-03-28,2025-10-27,2025-10-27,0,93.0,697.0
2025-04-04,2025-10-28,2025-10-28,0,1.0,1.0
2025-05-02,2026-01-02,2026-01-02,0,66.0,66.0
2025-05-23,2025-11-21,2025-11-21,0,-42.0,-42.0
2025-06-06,2026-01-02,2026-01-02,0,42.0,42.0
2025-07-18,2025-12-15,2025-12-15,0,-18.0,-18.0
2025-08-22,2026-01-15,2025-12-05,-41,31.0,-10.0
2025-09-12,2026-02-20,2025-12-05,-77,36.0,0.0
2025-10-03,2026-02-23,2025-12-05,-80,3.0,0.0
2025-10-17,2026-02-23,2025-12-05,-80,0.0,0.0
2025-10-17,2026-02-23,2025-12-05,-80,0.0,0.0
2025-10-31,2026-02-23,2025-12-05,-80,-1.0,0.0
2025-11-20,2026-05-15,2025-12-05,-161,81.0,0.0
