file_id,ADM,COM,ENC,INT,PRE,STR,UNK,filename,date
49,209,29,1100,2331,893,2937,2,YATES-T FAB1 schedule update - 05-02-25 - To SECAI.xer,YYYY-MM-DD
50,212,28,1132,2298,911,2959,1,YATES-T FAB1 schedule update - 05-23-25 - To SECAI.xer,YYYY-MM-DD
51,300,28,1173,7129,1194,3032,0,YATES-T FAB1 schedule update - 10-03-25 - To SECAI.xer,YYYY-MM-DD
52,23,2,101,184,46,789,1,YATES-T FAB1 schedule - 12-5-22 - SECAI inputs updated (1).xer,YYYY-MM-DD
53,198,29,1034,2301,863,2927,1,YATES-T FAB1 schedule update - 2-07-25 - To SECAI.xer,YYYY-MM-DD
54,197,29,1039,2163,843,2917,0,YATES-T FAB1 schedule update - 1-10-25 - To SECAI.xer,YYYY-MM-DD
55,181,39,942,1754,777,2897,0,YATES-T FAB1 schedule update -DD 08-09-24 - To SECAI.xer,YYYY-MM-DD
56,181,29,946,1776,780,2902,0,YATES-T FAB1 schedule update - 08-23-24 - To SECAI.xer,YYYY-MM-DD
57,26,1,263,232,367,1462,0,YATES-T FAB1 schedule update - 4-09-23 - To SECAI.xer,YYYY-MM-DD
58,192,29,1037,2147,837,2911,0,YATES-T FAB1 schedule update - 12-13-24 - To SECAI.xer,YYYY-MM-DD
59,300,28,1163,6834,1162,3017,0,YATES-T FAB1 schedule update - 08-22-25 - To SECAI.xer,YYYY-MM-DD
60,141,28,875,1512,682,2657,0,YATES-T FAB1 schedule - 6-14-24 - To SECAI.xer,YYYY-MM-DD
61,20,1,216,551,383,1545,2,YATES-T FAB1 schedule update - 7-16-23 - To SECAI.xer,YYYY-MM-DD
62,25,2,101,184,21,720,0,YATES-T FAB1 schedule - 11-07-22 - To SECAI.xer,YYYY-MM-DD
63,192,29,1032,2149,840,2915,1,YATES-T FAB1 schedule update - 12-27-24 - To SECAI.xer,YYYY-MM-DD
64,25,1,177,173,144,814,2,YATES-T FAB1 schedule - 1-09-23 - To SECAI.xer,YYYY-MM-DD
65,119,23,783,1264,510,2314,2,YATES-T FAB1 schedule update - 3-22-23 - To SECAI.xer,YYYY-MM-DD
66,60,1,484,1142,473,2088,2,YATES-T FAB1 schedule update - 11-26-2023 - To SECAI.xer,YYYY-MM-DD
67,25,1,232,175,191,1179,2,YATES-T FAB1 schedule update - 01-30-23 - To SECAI.xer,YYYY-MM-DD
68,205,29,1059,2322,874,2930,2,YATES-T FAB1 schedule update - 04-04-25 - To SECAI.xer,YYYY-MM-DD
69,95,21,570,1151,484,2358,2,YATES-T FAB1 schedule update - 01-21-24 - To SECAI.xer,YYYY-MM-DD
70,25,1,177,173,162,1042,2,YATES-T FAB1 Study Accelerated schedule -1-18-23 - Not Confirmed.xer,YYYY-MM-DD
71,126,28,877,1452,636,2522,0,YATES-T FAB1 schedule - 5-31-24 - To SECAI.xer,YYYY-MM-DD
