Task Code,Task Description,Status,WBS,Building,Area,Level,Room,Phase,Subcontractor,Trade,Responsible Person,Bid Package,Planned Start,Planned Finish,Actual Start,Actual Finish,Early Start,Early Finish,Late Start,Late Finish,Remaining Duration (hrs),Planned Duration (hrs),Physical % Complete
MS.ALL.TU.1000,OWNER - TEMPORARY WATER FOR FAB & SUP,Complete,CONTRACTOR MILESTONES,Key Milestones,A5 - Area 2 (Gridlines 6-3),Milestones,,CONSTRUCTION,,Key Milestones,PROJECT MILESTONES,,2024-02-05 07:00,2024-02-05 07:00,2022-07-30 07:00,2022-07-30 07:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,0,100
CN.SEB1.5030,DS/AD STEEL SPRAY FIREPROOFING SFRM - SEB1- GL 19-22 - C-E L1 CEILING,Complete,CONSTRUCTION,,SUEN-1 - 19-22,DS/AD,,CONSTRUCTION,,Fireproofing,,,2023-12-11 08:00,2023-12-17 14:00,2023-12-11 08:00,2023-12-13 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-19 07:00,2025-11-19 07:00,0,56,100
CN.SWA1.1430,IMPACT SCAFFOLDING PLATFORM APPROVAL AND INSTALLATION,Complete,CONSTRUCTION,,SUWS-1 - 18-15,DS/AD,,CONSTRUCTION,,Fireproofing,,,2024-01-22 08:00,2024-02-05 12:00,2024-01-01 08:00,2024-01-10 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,144,100
CN.SEA4.6230,DSAD PENETRATION SUPPORT STEEL FRAMING - SEA4 - GL 9-6 - C-E - L2,Complete,CONSTRUCTION,,SUES-4 - 9-6,DS/AD,,CONSTRUCTION,,,,,2023-11-20 08:00,2023-11-28 08:00,2023-11-20 08:00,2023-11-24 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,40,100
CN.SEA3.6200,DSAD PENETRATION SUPPORT STEEL FRAMING - SEA3 - GL 9-13 - L2 C-E,Complete,CONSTRUCTION,,SUES-3 - 13-9,DS/AD,,CONSTRUCTION,,,,,2023-11-27 08:00,2023-12-02 08:00,2023-11-27 08:00,2023-12-01 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,40,100
CN.SEA5.6280,DSAD PENETRATION SUPPORT STEEL FRAMING - SEA2 - GL 16-13 - L2- C-E,Complete,CONSTRUCTION,,SUES-2 - 16-13,DS/AD,,CONSTRUCTION,,,,,2023-12-04 08:00,2023-12-09 08:00,2023-12-04 08:00,2023-12-08 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,40,100
CN.SEA1.6240,DSAD PENETRATION SUPPORT STEEL FRAMING - SEA1 - GL 19-16 - L2 C-E,Complete,CONSTRUCTION,,SUES-1 - 19-16,DS/AD,,CONSTRUCTION,,,,,2023-12-18 07:00,2023-12-21 17:00,2023-12-18 07:00,2023-12-21 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,40,100
FIZ.EAST.1221,IMPACT - STARCON BASE PLATE WELDING & HORZ BEAM INSTALLS,Complete,CONSTRUCTION,,FIZ3 (East Inner) GL G-E,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,Cast-in Place Concrete - Baker Concrete,,,2024-01-22 08:00,2024-01-27 14:00,2024-01-01 08:00,2024-03-07 00:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,56,100
CN.SEA5.1590,DSAD PENETRATION SUPPORT STEEL FRAMING - SEA5 - GL 6-1 - C-E - L3,Complete,CONSTRUCTION,,SUES-5 - 6-1 - FIZ - GL A -E,DS/AD,,CONSTRUCTION,,,,,2023-12-05 07:00,2023-12-09 17:00,2023-12-05 07:00,2023-12-10 10:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,40,100
CN.SEA5.1600,DSAD PENETRATION SUPPORT STEEL FRAMING - SEA5 - GL 6-1 - C-E - L4,Complete,CONSTRUCTION,,SUES-5 - 6-1 - FIZ - GL A -E,DS/AD,,CONSTRUCTION,,Steel Erection,,,2024-04-23 07:00,2024-04-29 17:00,2024-04-11 07:00,2024-04-17 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,50,100
