Task Code,Task Description,Status,Planned Start,Planned Finish,Actual Start,Actual Finish
MS.ALL.MS.1090,GC - STRUCTURAL STEEL ERECTION COMPLETE - Incl Elevator Door fronts,Not Started,2025-11-20 17:00,2025-11-20 17:00,,
CN.BB51.ST.2050,BERG - INSTALL DOOR FRAMES - GL 33 - STAIR 5 - K-L - demo drywall and Install PART OF FRAMING,Complete,2025-09-04 07:00,2025-09-11 17:00,2025-08-11 07:00,2025-09-16 17:00
CN.BB51.ST.2110,INSTALL - DOOR/HARDWARE/PAINT - GL 33 - STAIR 5 - K-L(),Active,2025-10-17 07:00,2025-10-23 17:00,2025-10-17 07:00,
CN.BB51.ST.2460,BERG - INSTALL DOOR FRAMES - GL 33 - STAIR 18 - C-D (Procurement),Active,2025-09-04 07:00,2025-09-15 17:00,2025-08-04 07:00,
CN.BB51.ST.2490,INSTALL - DOOR/HARDWARE/PAINT - GL 33 - STAIR 18 - C-D (),Not Started,2025-12-22 07:00,2025-12-26 17:00,,
ELEVHSS290,IMPACT - SWO ISSUED FOR ALL REMAINING HSS STEEL DOOR OPENINGS / AWAIT SECAI DIRECTION TO PROCEED,Complete,2024-05-03 07:00,2024-08-13 17:00,2024-04-25 07:00,2025-01-06 17:00
CN.SWB5.2410,CCD 248 - FRAME & HANG TEMP DRYWALL ENCLOSURE - GL5 & A-LINE - SE PENTHOUSE,Complete,2024-05-24 07:00,2024-06-10 17:00,2024-05-22 07:00,2024-05-30 17:00
INT.DH.1000,IMPACT - Y_RFI 1209 - PREP & SUBMIT RFI FOR INTERIOR DOOR DESIGN,Complete,2024-05-31 07:00,2024-06-21 17:00,2024-02-05 07:00,2024-02-20 17:00
INT.DH.1030,IMPACT - DRB-007 / DRB-008 - SECAI ISSUES INTERIOR DOOR REDESIGN TO YATES,Complete,2024-06-17 07:00,2024-07-19 17:00,2024-03-07 07:00,2024-04-04 17:00
INT.DH.1040,"IMPACT - CCD 302 - YATES PREP & SUBMIT CCD: C&B DOOR SCHEDULE CHANGES AS PER RFI 1209, DRB-007, DRB-008",Complete,2024-06-24 07:00,2024-07-25 17:00,2024-04-05 07:00,2024-05-07 17:00
INT.DH.1050,"IMPACT - CCD 302 - SECAI REVIEW & APPROVE CCD: C&B DOOR SCHEDULE CHANGES AS PER RFI 1209, DRB-007, DRB-008",Complete,2024-06-28 07:00,2024-07-22 17:00,2024-05-08 07:00,2024-05-20 17:00
INT.DH.1060,IMPACT - CCD 302 - YATES/C&B PREPARE SUBMITTAL FOR INTERIOR DOOR REDESIGN,Complete,2024-07-05 07:00,2024-07-16 17:00,2024-05-21 07:00,2024-05-30 17:00
INT.DH.1070,IMPACT - CCD 302 - SECAI/JACOBS REVIEW & APPROVE SUBMITTAL FOR INTERIOR DOOR REDESIGN (DRB-008) - REVISE & RESUBMIT,Complete,2024-06-10 07:00,2024-06-28 17:00,2024-05-31 07:00,2024-07-08 17:00
INT.DH.2000,IMPACT - Y_SBMT 524 - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS,Complete,2024-05-31 07:00,2024-06-06 17:00,2023-12-01 07:00,2023-12-14 17:00
INT.DH.2010,IMPACT - SECAI REVIEW & APPROVE AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - REVISE & RESUBMIT,Complete,2024-05-31 07:00,2024-06-06 17:00,2023-12-15 07:00,2023-12-21 17:00
INT.DH.2020,IMPACT - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R1,Complete,2024-05-31 07:00,2024-06-06 17:00,2023-12-22 07:00,2024-02-06 17:00
INT.DH.2030,IMPACT - SECAI REVIEW & APPROVE TO AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R1 - REVISE & RESUBMIT,Complete,2024-05-31 07:00,2024-06-06 17:00,2024-02-07 07:00,2024-02-20 17:00
INT.DH.2040,IMPACT - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R2,Complete,2024-05-31 07:00,2024-06-06 17:00,2024-02-21 07:00,2024-04-08 17:00
INT.DH.2050,IMPACT - SECAI REVIEW & APPROVE TO AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R2 - REVISE & RESUBMIT,Complete,2024-05-31 07:00,2024-06-06 17:00,2024-04-09 07:00,2024-04-18 17:00
INT.DH.2060,IMPACT - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R3,Complete,2024-05-31 07:00,2024-06-06 17:00,2024-04-19 07:00,2024-05-08 17:00
