Task Code,Task Description,Status,WBS,Building,Area,Level,Room,Subcontractor,Trade,Responsible Person,Planned Start,Planned Finish,Actual Start,Actual Finish
MS.ALL.MS.1090,GC - STRUCTURAL STEEL ERECTION COMPLETE - Incl Elevator Door fronts,Not Started,CONTRACTOR MILESTONES,,Key Milestones,Milestones,,,,,2025-11-20 17:00,2025-11-20 17:00,,
CN.BB51.ST.2050,BERG - INSTALL DOOR FRAMES - GL 33 - STAIR 5 - K-L - demo drywall and Install PART OF FRAMING,Complete,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 5 (WEST),STAIR 5 (WEST) - K-L,BERG,,,2025-09-04 07:00,2025-09-11 17:00,2025-08-11 07:00,2025-09-16 17:00
CN.BB51.ST.2110,INSTALL - DOOR/HARDWARE/PAINT - GL 33 - STAIR 5 - K-L(),Active,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 5 (WEST),STAIR 5 (WEST) - K-L,ALK,,,2025-10-17 07:00,2025-10-23 17:00,2025-10-17 07:00,
CN.BB51.ST.2460,BERG - INSTALL DOOR FRAMES - GL 33 - STAIR 18 - C-D (Procurement),Active,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 18 (EAST),STAIR 18 (EAST) - C-D,BERG,,,2025-09-04 07:00,2025-09-15 17:00,2025-08-04 07:00,
CN.BB51.ST.2490,INSTALL - DOOR/HARDWARE/PAINT - GL 33 - STAIR 18 - C-D (),Not Started,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 18 (EAST),STAIR 18 (EAST) - C-D,ALK,,,2025-12-22 07:00,2025-12-26 17:00,,
ELEVHSS290,IMPACT - SWO ISSUED FOR ALL REMAINING HSS STEEL DOOR OPENINGS / AWAIT SECAI DIRECTION TO PROCEED,Complete,CONSTRUCTION,,ELEVATORS,L1 - Fndn Slab,,SECAI,,,2024-05-03 07:00,2024-08-13 17:00,2024-04-25 07:00,2025-01-06 17:00
CN.SWB5.2410,CCD 248 - FRAME & HANG TEMP DRYWALL ENCLOSURE - GL5 & A-LINE - SE PENTHOUSE,Complete,CONSTRUCTION,,SOUTH EAST PENTHOUSE,L4 - SUP Roof - FAB Roof,,,,,2024-05-24 07:00,2024-06-10 17:00,2024-05-22 07:00,2024-05-30 17:00
INT.DH.1000,IMPACT - Y_RFI 1209 - PREP & SUBMIT RFI FOR INTERIOR DOOR DESIGN,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-21 17:00,2024-02-05 07:00,2024-02-20 17:00
INT.DH.1030,IMPACT - DRB-007 / DRB-008 - SECAI ISSUES INTERIOR DOOR REDESIGN TO YATES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-06-17 07:00,2024-07-19 17:00,2024-03-07 07:00,2024-04-04 17:00
INT.DH.1040,"IMPACT - CCD 302 - YATES PREP & SUBMIT CCD: C&B DOOR SCHEDULE CHANGES AS PER RFI 1209, DRB-007, DRB-008",Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-06-24 07:00,2024-07-25 17:00,2024-04-05 07:00,2024-05-07 17:00
