Task Code,Task Description,Status,Planned Start,Planned Finish,Actual Start,Actual Finish
CN.SEB55050,Drywall Clips & AMTS Installs Support Beams - SEB2- GL 22-25 - L4 - D LINE,Complete,2024-03-23 08:00,2024-03-30 10:00,2024-03-11 00:00,2024-03-21 00:00
CN.SWB5.7140,FINISH DRYWALL & WATERPROOFING & CMP - GL 33 - L1-L2 - LEAVEOUT AREA - E-E.2,Complete,2025-06-24 07:00,2025-07-29 17:00,2025-06-16 07:00,2025-07-15 17:00
CN.SWB5.7330,BERG - FINISH DRYWALL & WATERPROOFING & CMP - GL 33 - L1-L2 - LOADING DECK LEAVEOUT AREA - G-G.2,Complete,2024-12-09 07:00,2024-12-23 17:00,2024-11-13 07:00,2025-07-28 17:00
CN.SWB5.7610,FINISH DRYWALL & WATERPROOFING &CMP - GL 33 - L1-L2 - LOADING DECK LEAVEOUT AREA - H.5-J,Complete,2024-12-12 07:00,2025-01-14 17:00,2024-12-12 07:00,2025-07-22 17:00
CN.BB51.ST.2010,HANG EXTERIOR FRAMING & DRYWALL (1-LAYERS) - GL 33 - STAIR 5 - K-L(2 SHIFTS),Complete,2024-11-21 07:00,2024-11-27 17:00,2024-11-21 07:00,2025-01-31 17:00
CN.BB51.ST.2080,INSTALL & INSPECT  INTERIOR DRYWALL VESTIBULE 5 3RD LAYER - GL 33 UPTO LVL 2 - STAIR 5 - K-L,Complete,2025-08-19 07:00,2025-09-09 17:00,2025-08-14 07:00,2025-08-25 17:00
CN.BB51.ST.2070,CHERRY - PRIME & FINISH PAINT INTERIOR DRYWALL - Vestibules 5 - Level 1 & 2 - GL 33 - STAIR 5 - K-L(),Not Started,2025-11-24 07:00,2025-12-02 17:00,,
CN.BB51.ST.2050,BERG - INSTALL DOOR FRAMES - GL 33 - STAIR 5 - K-L - demo drywall and Install PART OF FRAMING,Complete,2025-09-04 07:00,2025-09-11 17:00,2025-08-11 07:00,2025-09-16 17:00
CN.BB51.ST.2370,HANG EXTERIOR DRYWALL (1-LAYERS) - GL 33 - STAIR 18 - C-D (),Complete,2025-02-10 07:00,2025-02-14 17:00,2025-02-10 07:00,2025-07-18 17:00
CN.BB51.ST.2420,INSTALL & INSPECT DRYWALL STAIR 18 INTERIOR SHAFT (2HR)(3HR) - GL 33 - STAIR 18 - C-D (),Complete,2025-08-19 07:00,2025-09-16 17:00,2025-08-14 07:00,2025-10-02 17:00
CN.BB51.ST.2450,TAPE & FLOAT SANDING INTERIOR SHAFT DRYWALL & SANDING - - GL 33 - STAIR 18 - C-D (),Complete,2025-10-06 07:00,2025-10-10 17:00,2025-10-03 07:00,2025-10-23 17:00
CN.BB51.ST.2480,CHERRY - PRIME & FINISH PAINT INTERIOR DRYWALL - Vestibule and remaining - GL 33 - STAIR 18 - C-D (),Not Started,2025-12-11 07:00,2025-12-19 17:00,,
CN.BB51.ST.2520,INSTALL & INSPECT  INTERIOR DRYWALL & FIRECAULK - VESTIBULE 18 - 3RD LAYER - GL 33 LVL 3 - 4  - STAIR 18 - C-D,Complete,2025-09-02 07:00,2025-09-10 17:00,2025-09-02 07:00,2025-11-06 17:00
CN.BB51.ST.1670,IMPACT - SECAI DIRECTS FRAMING AND DRYWALL TO STOP FOR ACCESS - GL 33 - L2 - B-C,Complete,2024-04-15 07:00,2024-06-20 17:00,2024-02-12 07:00,2024-07-31 17:00
CN.SEA4.1181,REMEDY - DEMO DRYWALL (INT) - SEA4 - GL 9-6 - D LINE - L2,Complete,2024-07-01 07:00,2024-07-08 17:00,2024-07-01 07:00,2024-07-12 17:00
FIZ.WEST.2481,IMPACT [S12] - DEMO DRYWALL & FIREPROOFING FOR STRUCTURAL STEEL - GL 1-3 - J-L - L2-L4,Complete,2024-05-31 07:00,2024-06-07 17:00,2024-05-16 07:00,2024-06-24 17:00
FIZ.WEST.2491,IMPACT [S12] - REINSTALL DRYWALL & FIREPROOFING - GL 1-3 - J-L - L2-L4,Complete,2024-07-17 07:00,2024-07-23 17:00,2024-07-03 07:00,2024-07-12 17:00
