Task Code,Task Description,Status,WBS,Building,Area,Level,Room,Subcontractor,Trade,Responsible Person,Planned Start,Planned Finish,Actual Start,Actual Finish
CN.SEB55050,Drywall Clips & AMTS Installs Support Beams - SEB2- GL 22-25 - L4 - D LINE,Complete,CONSTRUCTION,,SUEN-2 - 22-25,L4 - SUP Roof - FAB Roof,DS/AD INTERIORS,,TBD Architectural Finishes,,2024-03-23 08:00,2024-03-30 10:00,2024-03-11 00:00,2024-03-21 00:00
CN.SWB5.7140,FINISH DRYWALL & WATERPROOFING & CMP - GL 33 - L1-L2 - LEAVEOUT AREA - E-E.2,Complete,CONSTRUCTION,,GRIDLINE 33,GL 33- LEAVEOUTS,GL33 EXTERIOR AREA (FAB EAST) - D-G,BERG,,,2025-06-24 07:00,2025-07-29 17:00,2025-06-16 07:00,2025-07-15 17:00
CN.SWB5.7330,BERG - FINISH DRYWALL & WATERPROOFING & CMP - GL 33 - L1-L2 - LOADING DECK LEAVEOUT AREA - G-G.2,Complete,CONSTRUCTION,,GRIDLINE 33,GL 33- LEAVEOUTS,GL33 EXTERIOR AREA (FAB WEST) - G-K,BERG,,,2024-12-09 07:00,2024-12-23 17:00,2024-11-13 07:00,2025-07-28 17:00
CN.SWB5.7610,FINISH DRYWALL & WATERPROOFING &CMP - GL 33 - L1-L2 - LOADING DECK LEAVEOUT AREA - H.5-J,Complete,CONSTRUCTION,,GRIDLINE 33,GL 33- LEAVEOUTS,GL33 EXTERIOR AREA (FAB WEST) - G-K,BERG,,,2024-12-12 07:00,2025-01-14 17:00,2024-12-12 07:00,2025-07-22 17:00
CN.BB51.ST.2010,HANG EXTERIOR FRAMING & DRYWALL (1-LAYERS) - GL 33 - STAIR 5 - K-L(2 SHIFTS),Complete,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 5 (WEST),STAIR 5 (WEST) - K-L,BERG,,,2024-11-21 07:00,2024-11-27 17:00,2024-11-21 07:00,2025-01-31 17:00
CN.BB51.ST.2080,INSTALL & INSPECT  INTERIOR DRYWALL VESTIBULE 5 3RD LAYER - GL 33 UPTO LVL 2 - STAIR 5 - K-L,Complete,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 5 (WEST),STAIR 5 (WEST) - K-L,BERG,,,2025-08-19 07:00,2025-09-09 17:00,2025-08-14 07:00,2025-08-25 17:00
CN.BB51.ST.2070,CHERRY - PRIME & FINISH PAINT INTERIOR DRYWALL - Vestibules 5 - Level 1 & 2 - GL 33 - STAIR 5 - K-L(),Not Started,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 5 (WEST),STAIR 5 (WEST) - K-L,CHERRY COATING,,,2025-11-24 07:00,2025-12-02 17:00,,
CN.BB51.ST.2050,BERG - INSTALL DOOR FRAMES - GL 33 - STAIR 5 - K-L - demo drywall and Install PART OF FRAMING,Complete,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 5 (WEST),STAIR 5 (WEST) - K-L,BERG,,,2025-09-04 07:00,2025-09-11 17:00,2025-08-11 07:00,2025-09-16 17:00
CN.BB51.ST.2370,HANG EXTERIOR DRYWALL (1-LAYERS) - GL 33 - STAIR 18 - C-D (),Complete,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 18 (EAST),STAIR 18 (EAST) - C-D,BERG,,,2025-02-10 07:00,2025-02-14 17:00,2025-02-10 07:00,2025-07-18 17:00
CN.BB51.ST.2420,INSTALL & INSPECT DRYWALL STAIR 18 INTERIOR SHAFT (2HR)(3HR) - GL 33 - STAIR 18 - C-D (),Complete,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 18 (EAST),STAIR 18 (EAST) - C-D,BERG,,,2025-08-19 07:00,2025-09-16 17:00,2025-08-14 07:00,2025-10-02 17:00
CN.BB51.ST.2450,TAPE & FLOAT SANDING INTERIOR SHAFT DRYWALL & SANDING - - GL 33 - STAIR 18 - C-D (),Complete,CONSTRUCTION,,GRIDLINE 33,GL 33 STAIR 18 (EAST),STAIR 18 (EAST) - C-D,CHERRY COATING,,,2025-10-06 07:00,2025-10-10 17:00,2025-10-03 07:00,2025-10-23 17:00
