task_id,task_code,task_name,status_code,target_start_date,target_end_date,act_start_date,act_end_date,labor_budgeted_hrs,labor_remaining_hrs,labor_actual_reg_hrs,labor_actual_ot_hrs,labor_resources,equip_budgeted_hrs,equip_remaining_hrs,equip_actual_hrs,equipment_resources,total_budgeted_hrs,total_actual_hrs
100227670,CN.FIZ1.DP.1000,PH1- SLAB FIZ1FIZ1 (WEST INNER @ DATA CENTER AREA),TK_Complete,2022-10-01 10:00,2022-10-20 08:00,2022-10-01 10:00,2022-10-24 15:00,714.0,0.0,714.0,0.0,CIP Concrete SOG Crews,21.0,0.0,21.0,50-75 Ton Mobile Support Crane,735.0,735.0
100227677,FIZ.WEST.1051,FRP SLAB ON METAL DECK - ROOF - J-G,TK_Complete,2023-07-31 07:00,2023-08-03 09:00,2023-07-31 07:00,2023-08-03 09:00,112.0,0.0,112.0,0.0,CIP-Roof Slab,0.0,0.0,0.0,,112.0,112.0
100227678,FIZ.WEST.1061,FRP SLAB ON METAL DECK - L3 - J-G,TK_Complete,2023-07-10 07:00,2023-07-13 09:00,2023-07-08 07:00,2023-07-12 09:00,92.0,0.0,92.0,0.0,CIP Concrete Slab on Metal Deck Crews,0.0,0.0,0.0,,92.0,92.0
100227679,FIZ.WEST.1071,FRP SLAB ON METAL DECK - L2 - J-G - DATA CTR 2 .,TK_Complete,2023-07-11 07:00,2023-07-14 09:00,2023-07-07 07:00,2023-07-08 09:00,92.0,0.0,92.0,0.0,CIP Concrete Slab on Metal Deck Crews,0.0,0.0,0.0,,92.0,92.0
100227701,CN.FIZ1.1810,PH1- FIRE PROOFING - SFRM STEEL - FIZ1 - L2 - (Delay - Spray at night due to MEP issue) - DATA CTR 2 .,TK_Complete,2023-07-25 13:00,2023-08-06 13:00,2023-07-17 13:00,2023-07-24 15:00,320.0,0.0,320.0,0.0,"Precast Erect Crew FAB Waffles & Double-T's, Precast GROUTERS",40.0,0.0,40.0,"Precast Carry-Lift, 185 Ton Crawler Crane Unload/Handle Waffles",360.0,360.0
100227892,CN.FIZ3.DP.1000,PH1- SLAB FIZ3 (EAST INNER),TK_Complete,2022-11-17 09:00,2022-12-06 17:00,2022-09-12 09:00,2022-10-03 13:00,714.0,0.0,714.0,0.0,CIP Concrete SOG Crews,21.0,0.0,21.0,50-75 Ton Mobile Support Crane,735.0,735.0
100227894,CN.FIZ2.DP.1000,PH1- SLAB FIZ2 (WEST OUTER @ DATA CENTER AREA),TK_Complete,2023-01-10 13:00,2023-01-30 11:00,2023-01-10 13:00,2023-02-06 09:00,714.0,0.0,714.0,0.0,CIP Concrete SOG Crews,21.0,0.0,21.0,50-75 Ton Mobile Support Crane,735.0,735.0
100227899,FIZ.EAST.1061,FRP SLAB ON METAL DECK - ROOF - G-E,TK_Complete,2023-07-31 07:00,2023-08-03 09:00,2023-07-31 07:00,2023-08-03 09:00,112.0,0.0,112.0,0.0,CIP-Roof Slab,0.0,0.0,0.0,,112.0,112.0
100227901,FIZ.EAST.1051,FRP SLAB ON METAL DECK - L3 - G-E GL 1-3 - FIZ,TK_Complete,2023-09-01 09:00,2023-09-05 11:00,2023-08-26 09:00,2023-08-29 13:00,92.0,0.0,92.0,0.0,CIP Concrete Slab on Metal Deck Crews,0.0,0.0,0.0,,92.0,92.0
100227902,FIZ.EAST.2200,FRP SLAB ON METAL DECK - L2 - G-E GL 1-3,TK_Complete,2023-08-28 07:00,2023-09-01 09:00,2023-08-25 07:00,2023-08-28 07:00,92.0,0.0,92.0,0.0,CIP Concrete Slab on Metal Deck Crews,0.0,0.0,0.0,,92.0,92.0
