actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num,color,total_assignments
6235116,,257385,DOORS,DOOR,340,0000FF,3208
6235117,,257385,DRYWALL,DRYW,350,0000FF,31
6469176,,519874,MISC. STEEL,MSCST,103,0000FF,15
6469177,,519874,INSULATION,INS,102,0000FF,3
6469178,,519874,TILING,TILE,101,0000FF,11
6469179,,519874,WIRE MESH PARTITIONS,MESH,100,0000FF,
6469180,,519874,MILLWORK,MILL,101,0000FF,9
6469181,,519874,ROUGH CARPENTRY,CARP,100,0000FF,
6469182,,519874,CHEMICAL RESISTANT COATINGS,CRC,101,0000FF,15
6469183,,519874,FIREPROOFING,FIRE,100,0000FF,48
6469184,,519874,EXPANSION CONTROL,EXP,100,0000FF,16
6469185,,519874,WALL PROTECTION FINISHES & FIXTURES,FINISH,800,0000FF,101
6469186,,519874,DOORS & HARDWARE,DOOR,400,0000FF,123
6469187,,519874,ACOUSTIC PANELS,ACOUS,900,0000FF,
6469188,,519874,INTERIOR GLAZING,GLAZE,600,0000FF,12
6469189,,519874,RAISED ACCESS FLOORING,FLOOR,500,0000FF,16
6469190,,519874,FINISH PAINT,PAINT,700,0000FF,332
6469191,,519874,DRYWALL 2 SIDED TAPE & FINISH,TAPE,200,0000FF,190
6469192,,519874,FRAMING & DRYWALL,FR/DW,100,0000FF,572
6469193,,519874,STAIRS,STAIR,300,0000FF,291
6469194,,519874,JOINT SEALANTS,JOINT,0,0000FF,128
6469195,,519875,BIM / VDC,05 BIM/VDC,102,0000FF,
6469196,,519875,CONSTRUCTION,04 CON,101,0000FF,6801
6469197,,519875,PRE - CON / BUYOUT / IMPACTS,03 PRE / BO,100,0000FF,717
6469198,,519875,DESIGN,02 DES,100,0000FF,23
6469199,,519875,MILESTONE,01 MILE,0,0000FF,50
6469200,,519876,BIM / VDC,BIM / VDC,103,0000FF,
6469201,,519876,Tower Cranes,01 Towers,801,0000FF,
6469202,,519876,TEMP,TEMP,1809,0000FF,
6469203,,519876,TBD Architectural Finishes,ARCH,1503,0000FF,921
6469204,,519876,INSULATED METAL PANELS,SKIN,1101,0000FF,943
6469205,,519876,Steel Erector - W&W,05 Steel Erect,601,FF8000,95
