wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
18114021,122698,48154,0,1,Y,N,WS_Open,SAMSUNG-TFAB1-10-31-25- Live-3,Yates T FAB1 - Schedule Update - 10-31-25 - COMBINED,,3541663,6,0.88,0.0000,0.0000,,,0,,,EC_Cmp_pct,EE_Rem_hr,qZ6ZLE3aCUuGlGnUrECsVg,,
18114022,122698,48154,0,1,N,N,WS_Open,1,EXECUTIVE SUMMARY,,18114021,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Gia7HXeS2kuqUSr+0yAz2w,,
18114023,122698,48154,4,1,N,N,WS_Open,3,CONSTRUCTION,,18114021,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,eFJlDnbplECNlX0Htp7B3g,,
18114026,122698,48154,3,1,N,N,WS_Open,PRE CON,PRE CONSTRUCTION,,18114021,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Jko2kdBLIkSUhFWTBewo0Q,,
18114037,122698,48154,1,1,N,N,WS_Open,1,OWNER MILESTONES,,18114022,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,VMYQvX5JZ0+DIBT2BuKdWg,,
18114038,122698,48154,2,1,N,N,WS_Open,2,CONTRACTOR MILESTONES,,18114021,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,8rEHJCUK2UGq5pHuSCmk1g,,
18114039,122698,48154,201,1,N,N,WS_Open,3,PROCUREMENT MILESTONES,,18114022,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,jORdb9r5G0mAYmsP/wIrsg,,
18114040,122698,48154,301,1,N,N,WS_Open,4,LEVEL OF EFFORT,,18114022,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,bVpXCi9VvUmnig4JRFgP4w,,
18114041,122698,48154,3,1,N,N,WS_Open,Data Center Bldg,Data Center Bldg (Gridlines 1-3),,18114023,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,6me8AozO0kqD7MmWxPbwGw,,
18114042,122698,48154,5,1,N,N,WS_Open,3,FAB BUILDING (Phase 1),,18114023,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Fk6zyCKyP0akeVLPR6h6JA,,
18114043,122698,48154,2,1,N,N,WS_Open,Pier Drilling,Pier Drilling,,18114023,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,++i99NPiBUKeG/92/1e/DA,,
18114044,122698,48154,7,1,N,N,WS_Open,4,SUPPORT BUILDING - WEST,,18114023,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,20EAydGHhkSBv/8JiMnnGg,,
18114045,122698,48154,9,1,N,N,WS_Open,Support Bldg - East,SUPPORT BUILDING - EAST,,18114023,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,kFcAaVw7gkegoiMmZBTCjg,,
18114046,122698,48154,1,1,N,N,WS_Open,1,OWNER CONSTRUCTION,,18114023,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,A8AYnIRDUUyTmIcNefDKjg,,
18114484,122698,48154,1,1,N,N,WS_Open,1,PRE-CONSTRUCTION MILESTONES,,18114037,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,lqR7fIzJU0qyUaWWgVTIdQ,,
18114485,122698,48154,101,1,N,N,WS_Open,2,CONSTRUCTION MILESTONES,,18114037,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Xcag4/3JcUCbIe26wDrigg,,
18114486,122698,48154,201,1,N,N,WS_Open,3,INTERIM MOVE IN MILESTONES,,18114037,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,NzRxSZNGWku071XKjV5OwA,,
18114487,122698,48154,0,1,N,N,WS_Open,1,PRE-CONSTRUCTION MILESTONES,,18114038,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,/2zuMWzM9Uq4lBKW4smAnQ,0muL3/Kvc0C/eHu1psFXCQ,
18114488,122698,48154,1,1,N,N,WS_Open,2,CONSTRUCTION MILESTONES,,18114038,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,0X1UlDqAM0afHHrVsp10KA,xGZaB+IMN0iJBWt3+pFqvg,
18114489,122698,48154,301,1,N,N,WS_Open,FIZ1 (West Inner),Area FIZ1 (West Inner),,18114041,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,a36wIqgc30iRrhodlrrD/w,,
