rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,ts_approve_user_id,timesheet_flag,rsrc_notes,load_tasks_flag,level_flag,last_checksum
49814,50147,61078,,,,,QXGo4I7xAU+YunzjILvWTw,402,,,,,W&W Fab Bldg West Half Erection Team,W&W - Team A - West,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
49815,50147,61078,,,,,4RctCqNbx0eO2XeocXr72w,501,,,,,W&W Fab Bldg East Half Erection Team,W&W - Team A - East,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
49817,50147,61078,,,,,1UVTkvT+OUy3aypriAdbpA,1101,,,,,W&W DS/AD Infill Steel - West - Team B,W&W - DS/AD West - B,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
49827,50147,61078,,,,,opcDW0rlAkCShgSXGv/OzQ,1001,,,,,W&W DS/AD Infill Steel - East - Team B,W&W - DS/AD East - B,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
49856,50147,61078,,,,,33CtgB5YMEupuXs3gBruKA,1,,,,,W&W DS/AD Infill Steel - East - Team A,W&W - DS/AD East - A,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
49858,50147,61078,,,,,XOVWAtRnU02aUCHTgzigdQ,2,,,,,W&W DS/AD Infill Steel - West - Team A,W&W - DS/AD West - A,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50043,50046,61078,,,,,TEq0s6oHFE+9HPiFSZaEgQ,1,,,,,LR 1500 Crawler with Jib,Truss Erection Crane,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50044,50046,61078,,,,,+l9VepNy2U+ySpdbFIHNaQ,0,,,,,200-300 Ton Crawler,200 Ton Erection Cra,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50045,50046,61078,,,,,Frx/YdiNAUK3hBfObkncxA,101,,,,,55 Ton Mobile Support Crane,Mobile Support Crane,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50055,50148,61078,,,,,0ZSXCISStES7xD/pTITxCA,201,,,,,CIP Concrete SOG Crews,CIP SOG Crew,,4.25,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50056,50149,61078,,,,,TYXKSp2xY0GRyKhqjWqyRQ,0,,,,,50-75 Ton Mobile Support Crane,Mobile Crane- CIP,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50057,50148,61078,,,,,D9cNsF+JQ0Oy2GIZOPdfgg,302,,,,,CIP Concrete Pit Crews,CIP Pit Crews,,4.25,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50058,50148,165545,,,,,zfp/DNUbp024Z/VT4GY0uw,102,,,,,CIP Concrete Slab on Metal Deck Crews,CIP SOMD Crews,,28.75,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50059,50148,165545,,,,,1HEjpzmlI0uppNny/suEBA,103,,,,,CIP Concrete Topping Slab Crews,CIP Topping Slabs,,18.75,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50060,50148,61078,,,,,rXZsL7eMaEWZsmNTsjhYTw,301,,,,,CIP Concrete SUP Pier Cap Crew,CIP Pier Cap Crew,,3.75,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50062,50067,61078,,,,,EfC8wyLGUEiJlKv/nEwWCw,1,,,,,Precast Erect Main Columns,PC Erect-Main Cols,,0,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50063,50068,61078,,,,,2JVcjIV5tkO1RB2hiR4pLg,1,,,,,LR-1300 330 Ton Crawler Crane,330 Ton Crawler,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50064,50068,61078,,,,,8GGmy89TVUWq/gZs/AAhcg,201,,,,,Precast Carry-Lift,Precas Carry-Lift,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50065,50068,61078,,,,,XBiLyP/afk+nG94D9U+XEQ,0,,,,,LR-1400 400 Ton Crawler Crane,400 Ton Crawler,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50069,50067,61078,,,,,nbUFMMb5QU+19YL0PocUmQ,0,,,,,Precast Erect Crew SUP Col's/Bm's/Girders,PC Erect SUP,,10,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50071,50067,61078,,,,,0PCBQsm8aU2qoREnlfxHFA,102,,,,,Precast Erect Crew FAB Waffles & Double-T's,PC Erect Fab Waffles,,5,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50072,50067,61078,,,,,Jrbv57KqwUK1n8NpmaUE6g,202,,,,,Precast GROUTERS,PC GROUTERS,,5,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50073,50068,61078,,,,,kzFdYplhb0uS/v5T7wMu4w,101,,,,,185 Ton Crawler Crane Unload/Handle Waffles,185 Ton Crawler,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50136,50135,165545,,,,,FMSB4WLjq0emC+f7udmmbQ,1,,,,,Main Fab Roof Crew,Roofing - Main Fab,,50,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50137,50135,165545,,,,,LbNqbaoN9kyTmRg28jyqqg,101,,,,,SUP Bldg Roofing Membrane Crew,Roofing - SUP Bldg,,37.5,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50140,50150,165545,,,,,Ol+Xhzaz0kiwBn4SmGTQvg,0,,,,,Cladding Steel,Cladding Steel,,6.25,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50141,50150,61078,,,,,wNbA6lffyEeU9uzLW5Y2Hw,101,,,,,Insulated Metal Panels - Lower Areas,Metal Panels - Lower,,1.25,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50142,50150,61078,,,,,3pxEEcI3oEew11JT+LUoRw,201,,,,,Insulated Metal Panel - Prefab Crews,Metal Panel - Prefab,,0.75,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
50145,50151,61078,,,,,C+VFnhRWjEmLfIq2FKAiwg,0,,,,,50 Ton Mobile Support Crane,Mobile Crane- IMP,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,N,,,,
50169,49813,165545,,,,,02hAS/vU+02+JwfwotKDWg,0,,,,,W&W Roof Decking Crew DSAD,W&W Decking DSAD,,2.5,QT_Hour,,Y,N,N,N,1,,RT_Labor,,,N,,,,
52661,50148,165545,,,,,9mLzS5Myyke0aTr11VErdA,0,,,,,CIP-Roof Slab,CIP-Roof Slab,,35,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,N,,,,
