task_id,actv_code_type_id,actv_code_id,proj_id
100225644,519875,6469196,122698
100225644,519876,6469211,122698
100225644,519877,6469235,122698
100225644,519878,6469672,122698
100225644,519879,6469283,122698
100225644,519883,6469341,122698
100225644,519885,6469350,122698
100225645,519875,6469196,122698
100225645,519876,6469601,122698
100225645,519877,6469229,122698
100225645,519878,6469691,122698
100225646,519875,6469196,122698
100225646,519876,6469601,122698
100225646,519877,6469229,122698
100225646,519878,6469674,122698
100225646,564844,7172090,122698
100225647,519875,6469196,122698
100225647,519877,6469229,122698
100225647,519878,6469689,122698
100225648,519875,6469196,122698
100225648,519877,6469229,122698
100225648,519878,6469688,122698
100225649,519875,6469196,122698
100225649,519877,6469229,122698
100225649,519878,6469687,122698
100225650,519875,6469196,122698
100225650,519877,6469229,122698
100225650,519878,6469686,122698
100225651,519875,6469196,122698
100225651,519876,6469206,122698
100225651,519877,6469232,122698
100225651,519878,6469685,122698
100225651,564844,7172090,122698
100225652,519875,6469196,122698
100225652,519877,6469229,122698
100225652,519878,6469690,122698
100225653,519875,6469196,122698
100225653,519876,6469609,122698
100225653,519877,6469229,122698
100225653,519878,6469690,122698
100225654,519875,6469196,122698
100225654,519877,6469229,122698
100225654,519878,6469690,122698
100225655,519875,6469196,122698
100225655,519877,6469229,122698
100225655,519878,6469695,122698
100225656,519875,6469196,122698
100225656,519877,6469229,122698
100225656,519878,6469695,122698
100225657,519875,6469196,122698
100225657,519876,6469609,122698
100225657,519877,6469229,122698
100225657,519878,6469695,122698
100225657,519889,6469468,122698
100225658,519875,6469196,122698
100225658,519876,6469609,122698
100225658,519877,6469229,122698
100225658,519878,6469694,122698
100225659,519875,6469196,122698
100225659,519877,6469229,122698
100225659,519878,6469694,122698
100225659,519889,6469468,122698
100225660,519875,6469196,122698
100225660,519876,6469609,122698
100225660,519877,6469229,122698
100225660,519878,6469694,122698
100225660,519889,6469468,122698
100225661,519875,6469196,122698
100225661,519876,6469618,122698
100225661,519877,6469229,122698
100225661,519878,6469693,122698
100225662,519875,6469196,122698
100225662,519877,6469229,122698
100225662,519878,6469693,122698
100225663,519875,6469196,122698
100225663,519876,6469607,122698
100225663,519877,6469229,122698
100225663,519878,6469693,122698
100225663,519889,6469468,122698
100225664,519875,6469196,122698
100225664,519877,6469229,122698
100225664,519878,6469692,122698
100225664,519889,6469468,122698
100225665,519875,6469196,122698
100225665,519877,6469229,122698
100225665,519878,6469692,122698
100225665,519889,6469468,122698
100225666,519875,6469196,122698
100225666,519877,6469229,122698
100225666,519878,6469692,122698
100225667,519875,6469196,122698
100225667,519876,6469205,122698
100225667,519877,6469229,122698
100225667,519878,6469691,122698
100225667,519889,6469468,122698
100225668,519875,6469196,122698
100225668,519876,6469205,122698
100225668,519877,6469229,122698
100225668,519878,6469691,122698
100225668,519889,6469468,122698
100225669,519875,6469196,122698
100225669,519876,6469205,122698
100225669,519877,6469229,122698
100225669,519878,6469691,122698
100225669,519889,6469468,122698
100225670,519875,6469196,122698
100225670,519876,6469205,122698
100225670,519877,6469229,122698
100225670,519878,6469683,122698
100225671,519875,6469196,122698
100225671,519876,6469205,122698
100225671,519877,6469229,122698
100225671,519878,6469674,122698
100225671,519889,6469468,122698
100225672,519875,6469196,122698
100225672,519876,6469205,122698
100225672,519877,6469229,122698
100225672,519878,6469674,122698
100225673,519875,6469196,122698
100225673,519876,6469610,122698
100225673,519877,6469229,122698
100225673,519878,6469674,122698
100225673,519889,6469468,122698
100225674,519875,6469196,122698
100225674,519876,6469205,122698
100225674,519877,6469229,122698
100225674,519878,6469675,122698
100225674,519889,6469468,122698
100225675,519875,6469196,122698
100225675,519876,6469205,122698
100225675,519877,6469229,122698
100225675,519878,6469675,122698
100225676,519875,6469196,122698
100225676,519876,6469205,122698
100225676,519877,6469229,122698
100225676,519878,6469675,122698
100225676,519889,6469468,122698
100225677,519875,6469196,122698
100225677,519876,6469205,122698
100225677,519877,6469229,122698
100225677,519878,6469676,122698
100225678,519875,6469196,122698
100225678,519876,6469609,122698
100225678,519877,6469229,122698
100225678,519878,6469676,122698
100225678,519889,6469468,122698
100225679,519875,6469196,122698
100225679,519876,6469205,122698
100225679,519877,6469229,122698
100225679,519878,6469677,122698
100225679,519889,6469468,122698
100225680,519875,6469196,122698
100225680,519876,6469205,122698
100225680,519877,6469229,122698
100225680,519878,6469677,122698
100225681,519875,6469196,122698
100225681,519876,6469205,122698
100225681,519877,6469229,122698
100225681,519878,6469677,122698
100225681,519889,6469468,122698
100225682,519875,6469196,122698
100225682,519876,6469205,122698
100225682,519877,6469229,122698
100225682,519878,6469678,122698
100225683,519875,6469196,122698
100225683,519876,6469205,122698
100225683,519877,6469229,122698
100225683,519878,6469678,122698
100225683,519889,6469468,122698
100225684,519875,6469196,122698
100225684,519876,6469205,122698
100225684,519877,6469229,122698
100225684,519878,6469682,122698
100225685,519875,6469196,122698
100225685,519876,6469205,122698
100225685,519877,6469229,122698
100225685,519878,6469681,122698
100225686,519875,6469196,122698
100225686,519876,6469205,122698
100225686,519877,6469229,122698
100225686,519878,6469680,122698
100225687,519875,6469196,122698
100225687,519876,6469205,122698
100225687,519877,6469229,122698
100225687,519878,6469679,122698
100225688,519875,6469196,122698
100225688,519876,6469204,122698
100225688,519877,6469237,122698
100225688,519878,6469692,122698
100225688,519890,6469482,122698
100225689,519875,6469196,122698
100225689,519876,6469204,122698
100225689,519877,6469237,122698
100225689,519878,6469674,122698
100225690,519875,6469196,122698
100225690,519876,6469204,122698
100225690,519877,6469237,122698
100225690,519878,6469675,122698
100225691,519875,6469196,122698
100225691,519876,6469203,122698
100225691,519877,6469233,122698
100225691,519878,6469687,122698
100225691,519886,6469399,122698
100225692,519875,6469196,122698
100225692,519876,6469203,122698
100225692,519877,6469233,122698
100225692,519878,6469686,122698
100225692,519886,6469399,122698
100225693,519875,6469196,122698
100225693,519877,6469232,122698
100225693,519878,6469691,122698
100225693,519886,6469399,122698
100225694,519875,6469196,122698
100225694,519877,6469233,122698
100225694,519878,6469692,122698
100225694,519886,6469399,122698
100225695,519875,6469196,122698
100225695,519876,6469203,122698
100225695,519877,6469233,122698
100225695,519878,6469693,122698
100225695,519886,6469399,122698
100225696,519875,6469196,122698
100225696,519876,6469203,122698
100225696,519877,6469233,122698
100225696,519878,6469694,122698
100225696,519886,6469399,122698
100225697,519875,6469196,122698
100225697,519876,6469618,122698
100225697,519877,6469232,122698
100225697,519878,6469683,122698
100225697,519887,6469446,122698
100225698,519875,6469196,122698
100225698,519876,6469618,122698
100225698,519877,6469232,122698
100225698,519878,6469683,122698
100225699,519875,6469196,122698
100225699,519876,6469618,122698
100225699,519877,6469232,122698
100225699,519878,6469683,122698
100225700,519875,6469196,122698
100225700,519876,6469618,122698
100225700,519877,6469232,122698
100225700,519878,6469683,122698
100225700,519887,6469446,122698
100225701,519875,6469196,122698
100225701,519876,6469618,122698
100225701,519877,6469232,122698
100225701,519878,6469683,122698
100225701,519887,6469446,122698
100225702,519875,6469196,122698
100225702,519876,6469618,122698
100225702,519877,6469232,122698
100225702,519878,6469683,122698
100225702,519887,6469446,122698
100225703,519875,6469196,122698
100225703,519876,6469618,122698
100225703,519877,6469232,122698
100225703,519878,6469683,122698
100225703,519887,6469446,122698
100225704,519875,6469196,122698
100225704,519876,6469618,122698
100225704,519877,6469232,122698
100225704,519878,6469681,122698
100225704,519887,6469446,122698
100225704,519889,6469464,122698
100225705,519875,6469196,122698
100225705,519876,6469618,122698
100225705,519877,6469232,122698
100225705,519878,6469681,122698
100225705,519887,6469446,122698
100225705,519889,6469464,122698
100225706,519875,6469196,122698
100225706,519876,6469618,122698
100225706,519877,6469232,122698
100225706,519878,6469681,122698
100225706,519887,6469446,122698
100225706,519889,6469464,122698
100225707,519875,6469196,122698
100225707,519876,6469618,122698
100225707,519877,6469232,122698
100225707,519878,6469681,122698
100225707,519887,6469446,122698
100225707,519889,6469464,122698
100225708,519875,6469196,122698
100225708,519876,6469618,122698
100225708,519877,6469232,122698
100225708,519878,6469681,122698
100225708,519887,6469446,122698
100225708,519889,6469464,122698
100225709,519875,6469196,122698
100225709,519876,6469604,122698
100225709,519877,6469232,122698
100225709,519878,6469676,122698
100225709,519887,6469446,122698
100225710,519875,6469196,122698
100225710,519876,6469604,122698
100225710,519877,6469232,122698
100225710,519878,6469676,122698
100225711,519875,6469196,122698
100225711,519876,6469604,122698
100225711,519877,6469232,122698
100225711,519878,6469676,122698
100225712,519875,6469196,122698
100225712,519876,6469618,122698
100225712,519877,6469232,122698
100225712,519878,6469676,122698
100225712,519887,6469446,122698
100225713,519875,6469196,122698
100225713,519876,6469618,122698
