memo_id,task_id,memo_type_id,proj_id,task_memo
637730,100226396,7509,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY>SECAI&nbsp;REQUESTED YATES TO SCAN ALL THE PRE-CAST TO CLADDING CONNECTIONS , YATES REVISED AND RESUBMITTED CC113 TO SCAN THE CONNECTIONS. </BODY></HTML>"
637731,100226836,19015,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY>&nbsp; <DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 7pt""""><SPAN style=""""FONT-FAMILY: +mj-lt; COLOR: red"""">1.</SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>Duct Shaft C-E/3-12, 13-17, 19-25, 27-28</SPAN></DIV><DIV class=O1 style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.75in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 7pt""""><SPAN style=""""FONT-FAMILY: +mj-lt; COLOR: red"""">A.</SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>Structural support steel impacting framing<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>C-E/25<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>4/01/20204<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>Cl</SPAN></DIV><DIV class=O1 style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.75in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 7pt""""><SPAN style=""""FONT-FAMILY: +mj-lt; COLOR: red"""">B.</SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>SECAI ramp in conflict with closing wall<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>4/12/2024<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>Cl</SPAN></DIV><DIV class=O1 style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.75in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 7pt""""><SPAN style=""""FONT-FAMILY: +mj-lt; COLOR: red"""">C.</SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>MEP mat. in the way &amp; missing conc. Pending: </SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>Struc</SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>. steel and conc. pour 4/1/24</SPAN></DIV><DIV class=O1 style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.75in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 7pt""""><SPAN style=""""FONT-FAMILY: +mj-lt; COLOR: red"""">D.</SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>2 scaffolds (MEP Contr.) obstructing drywall inst. west of wall 7/8/24 </SPAN></DIV><DIV class=O1 style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.75in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""></DIV><DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 7pt""""><SPAN style=""""FONT-FAMILY: +mj-lt; COLOR: red"""">2.</SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>Temporary </SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>light fixtures does not allow framing to be erected; Process of being removed<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>7.826.5<SPAN style=""""mso-spacerun: yes"""">&nbsp;&nbsp; </SPAN>7/26/24</SPAN></DIV><DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 7pt""""><SPAN style=""""FONT-FAMILY: +mj-lt; COLOR: red"""">3.</SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>Temporary light fixtures does not allow framing to be erected; In process of being removed G/8.5<SPAN style=""""mso-spacerun: yes"""">&nbsp;&nbsp; </SPAN></SPAN><SPAN style='FONT-SIZE: 7pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>7/26/24</SPAN></DIV><DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""></DIV><DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 8pt""""><SPAN>4.</SPAN></SPAN><SPAN style='FONT-SIZE: 8pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>Ground Terminal boxes impeding second layer drywall B.5 18  19<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>07/08/2024 Cl 08/20/2024</SPAN></DIV><DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 8pt""""><SPAN>5.</SPAN></SPAN><SPAN style='FONT-SIZE: 8pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>M</SPAN><SPAN style='FONT-SIZE: 8pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>aterial is still sitting behind level 3 elevator 22. Berg cannot make corrections on framing until this material is moved Elevator 22<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>08/31/2024<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>Cl 10/16/2024</SPAN></DIV><DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 8pt""""><SPAN>6.</SPAN></SPAN><SPAN style='FONT-SIZE: 8pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>MEP Material impacting 1st layer of inspection B-4-5<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>08/06/2024<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>Cl<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>08/27/2024</SPAN></DIV><DIV style=""""MARGIN-BOTTOM: 0pt; VERTICAL-ALIGN: baseline; unicode-bidi: embed; MARGIN-TOP: 0pt; DIRECTION: ltr; TEXT-ALIGN: left; MARGIN-LEFT: 0.25in; TEXT-INDENT: -0.25in; language: en-US; mso-line-break-override: restrictions; punctuation-wrap: simple""""><SPAN style=""""FONT-SIZE: 8pt""""><SPAN>7.</SPAN></SPAN><SPAN style='FONT-SIZE: 8pt; FONT-FAMILY: """"?? ??""""; COLOR: black; language: en-US; mso-ascii-font-family: """"?? ??""""; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; mso-color-index: 1; mso-font-kerning: 12.0pt; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: text1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%'>Temp roof drain is running through the drywall constraining Berg from closing the wall. C/6<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>08/28/2024<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>Cl<SPAN style=""""mso-spacerun: yes"""">&nbsp; </SPAN>09/25/2024</SPAN></DIV></BODY></HTML>"
637732,100226951,1158,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY>CONFLICT WITH CONTROL PANEL, ON HOLD UNTIL FURTHER NORICE FROM SECAI </BODY></HTML>"
637733,100227090,1158,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY><P>AS PER SECAI THIS WILL BE REMOVED BY 1/3</P></BODY></HTML>"
637734,100227093,1158,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY><P>RFI 1614 submitted on 11/12/24</P><P>RFI RESPONSE CHANGED TO GRATING&nbsp;FROM CHECKERED PLATE </P><P>PRICING RECIEVED FROM PATRIOT 1/14</P><P>&nbsp;</P><P>&nbsp;</P></BODY></HTML>"
637735,100227170,247,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY>due to change in roof drains locations and crickets, elevation of topping slab changed. </BODY></HTML>"
637736,100227266,1158,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY><P>Need to revise and resubmit the RFI for stringers or concrets&nbsp;landing </P></BODY></HTML>"
637737,100227301,247,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY>due to change in roof drains locations and crickets, elevation of topping slab changed. </BODY></HTML>"
637738,100227302,247,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY>due to change in roof drains locations and crickets, elevation of topping slab changed. </BODY></HTML>"
637739,100227324,19015,122698,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 11.00.10570.1001""""></HEAD><BODY>10/18/24: Submit. clarifications sent to SECAI. Previously appr. items were now unapproved in the latest returned submit. There were discrepancies between Jacobs HW consultant's comments on the submittals &amp;design. <P class=MsoNormal style=""""MARGIN: 0in; TEXT-INDENT: 0.5in""""><FONT face=Arial>Either 10/29 or 11/7: the comments were returned; I am verifying</FONT><?xml:namespace prefix = """"o"""" ns = """"urn:schemas-microsoft-com:office:office"""" /><o:p></o:p></P></BODY></HTML>"
