taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,cbs_id,has_rsrchours,taskrsrc_sum_id
15380188,100227670,122698,Y,,,50055,,,0,714,4.25,0,4.25,0,714,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-10-01 10:00,2022-10-24 15:00,,,2022-10-01 10:00,2022-10-20 08:00,,,Y,,,,N,qcdTbSVp30G1YVJXEemeKA,COST_PER_QTY,0.0000,714,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380189,100227670,122698,Y,,,50056,,,0,21,0.125,0,0.125,0,21,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-10-01 10:00,2022-10-24 15:00,,,2022-10-01 10:00,2022-10-20 08:00,,,Y,,,,N,rzEN0DwCC0GuES2U3PJdlg,COST_PER_QTY,0.0000,21,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380190,100227677,122698,Y,,,52661,,,0,112,3.5,0,3.5,0,112,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-31 07:00,2023-08-03 09:00,,,2023-07-31 07:00,2023-08-03 09:00,,,Y,,,,N,oWPnbODHF0iiBmh1U5O8zw,COST_PER_QTY,0.0000,112,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380191,100227678,122698,Y,,,50058,,,0,92,2.875,0,2.875,0,92,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-08 07:00,2023-07-12 09:00,,,2023-07-10 07:00,2023-07-13 09:00,,,Y,,,,N,fG8BPPlfzUS0Y+llQeBdEQ,COST_PER_QTY,0.0000,92,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380192,100227679,122698,Y,,,50058,,,0,92,2.875,0,2.875,0,92,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-07 07:00,2023-07-08 09:00,,,2023-07-11 07:00,2023-07-14 09:00,,,Y,,,,N,pWlQJH6pYUa4+aERMDWmhQ,COST_PER_QTY,0.0000,92,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380193,100227701,122698,Y,,,50064,,,0,20,0.16666667,0,0.16666667,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-17 13:00,2023-07-24 15:00,,,2023-07-25 13:00,2023-08-06 13:00,,,Y,,,,N,inGr3a3YVkWdyBdvY8h3sA,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380194,100227701,122698,Y,,,50071,,,0,160,1.33333333,0,1.33333333,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-17 13:00,2023-07-24 15:00,,,2023-07-25 13:00,2023-08-06 13:00,,,Y,,,,N,Dx72iy6VaESk1XEBYJdI+g,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380195,100227701,122698,Y,,,50072,,,0,160,1.33333333,0,1.33333333,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-17 13:00,2023-07-24 15:00,,,2023-07-25 13:00,2023-08-06 13:00,,,Y,,,,N,6GqrIj4dVki7ljaFAofBsw,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380196,100227701,122698,Y,,,50073,,,0,20,0.16666667,0,0.16666667,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-17 13:00,2023-07-24 15:00,,,2023-07-25 13:00,2023-08-06 13:00,,,Y,,,,N,wRiupyl8fkWsUGrMDPbvLA,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380197,100227892,122698,Y,,,50055,,,0,714,4.25,0,4.25,0,714,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-09-12 09:00,2022-10-03 13:00,,,2022-11-17 09:00,2022-12-06 17:00,,,Y,,,,N,1lppq6SeQkiVhEu5u3fdyw,COST_PER_QTY,0.0000,714,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380198,100227892,122698,Y,,,50056,,,0,21,0.125,0,0.125,0,21,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-09-12 09:00,2022-10-03 13:00,,,2022-11-17 09:00,2022-12-06 17:00,,,Y,,,,N,5MYvoNV4VkSyDLlnI5wOCw,COST_PER_QTY,0.0000,21,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380199,100227894,122698,Y,,,50055,,,0,714,4.25,0,4.25,0,714,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-01-10 13:00,2023-02-06 09:00,,,2023-01-10 13:00,2023-01-30 11:00,,,Y,,,,N,Q+kHRi/lIUWXzpzgDyJKTQ,COST_PER_QTY,0.0000,714,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380200,100227894,122698,Y,,,50056,,,0,21,0.125,0,0.125,0,21,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-01-10 13:00,2023-02-06 09:00,,,2023-01-10 13:00,2023-01-30 11:00,,,Y,,,,N,Ox+/oMhUHkGSFPxkLBFBWQ,COST_PER_QTY,0.0000,21,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380201,100227899,122698,Y,,,52661,,,0,112,3.5,0,3.5,0,112,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-07-31 07:00,2023-08-03 09:00,,,2023-07-31 07:00,2023-08-03 09:00,,,Y,,,,N,jaCrZ3NhaUauIm4I+IoMXQ,COST_PER_QTY,0.0000,112,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380202,100227901,122698,Y,,,50058,,,0,92,2.875,0,2.875,0,92,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-08-26 09:00,2023-08-29 13:00,,,2023-09-01 09:00,2023-09-05 11:00,,,Y,,,,N,7Z+PCTfjvUWEvHveIRU2NQ,COST_PER_QTY,0.0000,92,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380203,100227902,122698,Y,,,50058,,,0,92,2.875,0,2.875,0,92,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-08-25 07:00,2023-08-28 07:00,,,2023-08-28 07:00,2023-09-01 09:00,,,Y,,,,N,deO7pPF8MUOUc+o+cGUlAA,COST_PER_QTY,0.0000,92,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380204,100227955,122698,Y,,,49814,,,0,546,8.53125,0,8.53125,0,546,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-10-27 07:00,2022-11-03 13:00,,,2022-10-27 07:00,2022-11-03 11:00,,,Y,,,,N,Eit2mMtRAEG3CF6ekmYeZg,COST_PER_QTY,0.0000,546,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380205,100227955,122698,Y,,,49815,,,0,546,8.53125,0,8.53125,0,546,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-10-27 07:00,2022-11-03 13:00,,,2022-10-27 07:00,2022-11-03 11:00,,,Y,,,,N,zI7nUhHa6UqQopNdT/JDNA,COST_PER_QTY,0.0000,546,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380206,100227955,122698,Y,,,50043,,,0,21,0.328125,0,0.328125,0,21,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-10-27 07:00,2022-11-03 13:00,,,2022-10-27 07:00,2022-11-03 11:00,,,Y,,,,N,v9BAQb42NU67LW2DixP6PQ,COST_PER_QTY,0.0000,21,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380207,100227955,122698,Y,,,50045,,,0,21,0.328125,0,0.328125,0,21,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-10-27 07:00,2022-11-03 13:00,,,2022-10-27 07:00,2022-11-03 11:00,,,Y,,,,N,WeO1gsfMQkaGt60mG1igWQ,COST_PER_QTY,0.0000,21,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380208,100227956,122698,Y,,,49814,,,0,546,8.53125,0,8.53125,0,546,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-11-23 16:00,2022-12-05 12:00,,,2022-11-23 16:00,2022-12-03 10:00,,,Y,,,,N,yKQ2/fUZ7EqQbrw8mcDV8Q,COST_PER_QTY,0.0000,546,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380209,100227956,122698,Y,,,49815,,,0,546,8.53125,0,8.53125,0,546,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-11-23 16:00,2022-12-05 12:00,,,2022-11-23 16:00,2022-12-03 10:00,,,Y,,,,N,XvxkMNS2fUGmIsUSiVTU8Q,COST_PER_QTY,0.0000,546,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380210,100227956,122698,Y,,,50043,,,0,21,0.328125,0,0.328125,0,21,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-11-23 16:00,2022-12-05 12:00,,,2022-11-23 16:00,2022-12-03 10:00,,,Y,,,,N,BL977aAvUU+lqZ9WD/WsVw,COST_PER_QTY,0.0000,21,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380211,100227956,122698,Y,,,50045,,,0,21,0.328125,0,0.328125,0,21,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-11-23 16:00,2022-12-05 12:00,,,2022-11-23 16:00,2022-12-03 10:00,,,Y,,,,N,c04w3aSZbEWPQxTgF1vCVw,COST_PER_QTY,0.0000,21,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380212,100227957,122698,Y,,,50169,,,0,210,1.17977528,0,1.17977528,0,210,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-01-07 12:00,2023-02-13 16:00,,,2023-01-07 12:00,2023-01-28 10:00,,,Y,,,,N,MiBDqdsKwkmPSBs0XrskXA,COST_PER_QTY,0.0000,210,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380213,100227958,122698,Y,,,50136,,,0,80,0.55555556,0,0.55555556,0,80,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-13 07:00,2023-06-23 17:00,,,2023-03-13 07:00,2023-03-28 11:00,,,Y,,,,N,MQVGXuzxnEufbUiZRPijVw,COST_PER_QTY,0.0000,80,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380214,100227959,122698,Y,,,50136,,,0,80,1.63265306,0,1.63265306,0,80,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-20 07:00,2023-02-25 08:00,,,2023-02-20 07:00,2023-02-25 16:00,,,Y,,,,N,qfDDrBdmokmpX52sDIsqOw,COST_PER_QTY,0.0000,80,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380215,100227960,122698,Y,,,50055,,,0,748,2.87692308,0,2.87692308,0,748,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-09-27 07:00,2022-10-31 17:00,,,2022-09-27 07:00,2022-10-24 17:00,,,Y,,,,N,zMIVhrV9XkSkqXwo9eRB/g,COST_PER_QTY,0.0000,748,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380216,100227960,122698,Y,,,50056,,,0,22,0.08461538,0,0.08461538,0,22,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-09-27 07:00,2022-10-31 17:00,,,2022-09-27 07:00,2022-10-24 17:00,,,Y,,,,N,NxIzQpTjskC51cf8B+aFIg,COST_PER_QTY,0.0000,22,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380217,100227962,122698,Y,,,50062,,,0,63,1.26,0,1.26,0,63,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-11-15 07:00,2022-12-15 09:00,,,2022-11-15 07:00,2022-11-20 17:00,,,Y,,,,N,bnhsR6ZrrUm93WeumCueIA,COST_PER_QTY,0.0000,63,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380218,100227962,122698,Y,,,50063,,,0,7,0.14,0,0.14,0,7,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-11-15 07:00,2022-12-15 09:00,,,2022-11-15 07:00,2022-11-20 17:00,,,Y,,,,N,gn+d5E9uVE238GicumdByg,COST_PER_QTY,0.0000,7,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380219,100227963,122698,Y,,,50064,,,0,20,0.41666667,0,0.25,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-13 15:00,2023-02-17 10:00,,,2023-02-20 15:00,2023-03-02 15:00,,,Y,,,,N,bm4j3ppHQEeZVYxEl9CHzw,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380220,100227963,122698,Y,,,50071,,,0,160,3.33333333,0,2,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-13 15:00,2023-02-17 10:00,,,2023-02-20 15:00,2023-03-02 15:00,,,Y,,,,N,gYM401PdSUqUfiitfUfYPw,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380221,100227963,122698,Y,,,50072,,,0,160,3.33333333,0,2,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-13 15:00,2023-02-17 10:00,,,2023-02-20 15:00,2023-03-02 15:00,,,Y,,,,N,97Kmgqv2HUWDKy5m1OJNqw,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380222,100227963,122698,Y,,,50073,,,0,20,0.41666667,0,0.25,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-13 15:00,2023-02-17 10:00,,,2023-02-20 15:00,2023-03-02 15:00,,,Y,,,,N,t2J1zR9YjEuxs+kWt/TfNQ,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380223,100227964,122698,Y,,,50064,,,0,20,0.5,0,0.5,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-23 16:00,2023-03-03 10:00,,,2023-02-27 16:00,2023-03-04 16:00,,,Y,,,,N,RnCmQbrZdECiJo+eJ0zxGw,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380224,100227964,122698,Y,,,50071,,,0,160,4,0,4,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-23 16:00,2023-03-03 10:00,,,2023-02-27 16:00,2023-03-04 16:00,,,Y,,,,N,cuDTsRfE6kycJu4l9tF9FA,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380225,100227964,122698,Y,,,50072,,,0,160,4,0,4,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-23 16:00,2023-03-03 10:00,,,2023-02-27 16:00,2023-03-04 16:00,,,Y,,,,N,OY8wlHuqyEC0gkIbXEBhJQ,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380226,100227964,122698,Y,,,50073,,,0,20,0.5,0,0.5,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-23 16:00,2023-03-03 10:00,,,2023-02-27 16:00,2023-03-04 16:00,,,Y,,,,N,wI+Qd9z5N0OcdBb5F79KKA,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380227,100227965,122698,Y,,,50062,,,0,63,1.26,0,1.96875,0,63,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-12-22 11:00,2023-01-04 17:00,,,2022-12-22 11:00,2022-12-29 13:00,,,Y,,,,N,ZB9VTQglCkqgeO+6RH3r9Q,COST_PER_QTY,0.0000,63,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380228,100227965,122698,Y,,,50063,,,0,7,0.14,0,0.21875,0,7,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2022-12-22 11:00,2023-01-04 17:00,,,2022-12-22 11:00,2022-12-29 13:00,,,Y,,,,N,vL5I8lTF8ESIzNiPdyFMwA,COST_PER_QTY,0.0000,7,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380229,100227976,122698,Y,,,50064,,,0,20,2,0,2,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2024-05-16 07:00,2024-05-16 17:00,,,2024-05-16 07:00,2024-05-16 17:00,,,Y,,,,N,6VXB0Fp5Lk6WmObWMIIeoQ,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380230,100227976,122698,Y,,,50071,,,0,160,16,0,16,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2024-05-16 07:00,2024-05-16 17:00,,,2024-05-16 07:00,2024-05-16 17:00,,,Y,,,,N,W8NDoD8YvUSfIz44PwPj8w,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380231,100227976,122698,Y,,,50072,,,0,160,16,0,16,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2024-05-16 07:00,2024-05-16 17:00,,,2024-05-16 07:00,2024-05-16 17:00,,,Y,,,,N,f+h7M5kx+EqqUz28lMredQ,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380232,100227976,122698,Y,,,50073,,,0,20,2,0,2,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2024-05-16 07:00,2024-05-16 17:00,,,2024-05-16 07:00,2024-05-16 17:00,,,Y,,,,N,tEbBp8UHOkWmXvZLC/sH+Q,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380233,100227987,122698,Y,,,50064,,,0,20,0.35714286,0,0.35714286,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-03 10:00,2023-03-10 08:00,,,2023-03-03 10:00,2023-03-08 16:00,,,Y,,,,N,yGEdK/CEIUyK1zFRe2OJSw,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380234,100227987,122698,Y,,,50071,,,0,160,2.85714286,0,2.85714286,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-03 10:00,2023-03-10 08:00,,,2023-03-03 10:00,2023-03-08 16:00,,,Y,,,,N,VyeCmGMt1USnqvjHGAnqYw,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380235,100227987,122698,Y,,,50072,,,0,160,2.85714286,0,2.85714286,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-03 10:00,2023-03-10 08:00,,,2023-03-03 10:00,2023-03-08 16:00,,,Y,,,,N,jTX2B0D+bUqiq9t1vDC2Zg,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380236,100227987,122698,Y,,,50073,,,0,20,0.35714286,0,0.35714286,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-03 10:00,2023-03-10 08:00,,,2023-03-03 10:00,2023-03-08 16:00,,,Y,,,,N,GyzjTk4HcEOrvXknsRybqw,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380237,100227988,122698,Y,,,50064,,,0,20,0.5,0,0.5,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-13 08:00,2023-03-18 09:00,,,2023-03-13 08:00,2023-03-18 08:00,,,Y,,,,N,+eGQkj3/Q0uzeUt147yRBg,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380238,100227988,122698,Y,,,50071,,,0,160,4,0,4,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-13 08:00,2023-03-18 09:00,,,2023-03-13 08:00,2023-03-18 08:00,,,Y,,,,N,WpxrMBNC+E+Rj2gkoBsdHw,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380239,100227988,122698,Y,,,50072,,,0,160,4,0,4,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-13 08:00,2023-03-18 09:00,,,2023-03-13 08:00,2023-03-18 08:00,,,Y,,,,N,ydY93tNHn0GZiuq+JFyRDQ,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380240,100227988,122698,Y,,,50073,,,0,20,0.5,0,0.5,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-03-13 08:00,2023-03-18 09:00,,,2023-03-13 08:00,2023-03-18 08:00,,,Y,,,,N,/hvtNJRtHE+4/OBHn4ERfg,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380241,100227989,122698,Y,,,50064,,,0,20,0.41666667,0,0.25,0,20,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-20 15:00,2023-02-24 10:00,,,2023-02-20 15:00,2023-03-02 15:00,,,Y,,,,N,kSP/58jCikuIKg7qIXqAVg,COST_PER_QTY,0.0000,20,,RT_Equip,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
15380242,100227989,122698,Y,,,50071,,,0,160,3.33333333,0,2,0,160,0,,0.0000,0.0000,0.0000,0.0000,0.0000,2023-02-20 15:00,2023-02-24 10:00,,,2023-02-20 15:00,2023-03-02 15:00,,,Y,,,,N,ct6ZuHVzt0iLKlecupvXEw,COST_PER_QTY,0.0000,160,,RT_Labor,ST_Rsrc,ARAJSHEKAR,2025-07-16 14:09,,,
