id,daily_report_id,contact_id,contribution_type
1,10,228,contributor
2,10,229,contributor
3,13,230,contributor
4,13,229,assignment
5,21,229,contributor
6,23,230,contributor
7,23,231,contributor
8,23,231,assignment
9,23,229,assignment
10,24,230,contributor
11,24,231,contributor
12,24,232,contributor
13,24,231,assignment
14,30,228,contributor
15,30,230,contributor
16,30,231,contributor
17,30,232,contributor
18,30,231,assignment
19,33,230,contributor
20,33,231,contributor
21,33,231,assignment
22,34,230,contributor
23,34,231,contributor
24,34,231,assignment
25,35,230,contributor
26,35,231,contributor
27,35,231,assignment
28,37,231,contributor
29,45,230,contributor
30,45,231,contributor
31,45,231,assignment
32,46,230,contributor
33,46,231,contributor
34,47,230,contributor
35,47,228,assignment
36,47,231,assignment
37,51,230,contributor
38,51,231,contributor
39,51,231,assignment
40,51,229,assignment
41,52,230,contributor
42,52,231,contributor
43,54,231,contributor
44,55,231,contributor
45,56,231,contributor
46,57,231,contributor
47,58,231,contributor
48,60,231,contributor
49,62,231,contributor
50,132,238,contributor
51,132,239,contributor
52,138,239,contributor
53,135,239,contributor
54,1157,242,contributor
55,1222,248,contributor
56,1232,249,contributor
57,1453,251,contributor
58,1452,251,contributor
59,1457,251,contributor
60,1515,252,contributor
61,1526,252,contributor
62,1546,253,contributor
