trade_id,trade_code,trade_name,phase,csi_division,description
1,CONCRETE,Concrete,STR,03,Cast-in-place concrete foundations slabs walls topping
2,STEEL,Structural Steel,STR,05,Steel erection decking misc steel trusses
3,ROOFING,Roofing & Waterproofing,ENC,07,Roofing membrane waterproofing EIFS
4,DRYWALL,Drywall & Framing,INT,09,Metal stud framing gypsum board drywall
5,FINISHES,Architectural Finishes,INT,09,Paint flooring tile ceilings specialties doors
6,FIREPROOF,Fire Protection,INT,07,Fireproofing firestop fire caulk SFRM
7,MEP,MEP Systems,INT,22-26,Mechanical electrical plumbing HVAC
8,INSULATION,Insulation,INT,07,Thermal insulation pipe insulation
9,EARTHWORK,Earthwork & Foundations,STR,31,Excavation backfill grading deep foundations
10,PRECAST,Precast Concrete,STR,03,Precast panels precast erection
11,PANELS,Metal Panels & Cladding,ENC,07,Metal wall panels IMP cladding skin
12,GENERAL,General Conditions,ADM,01,General requirements temporary facilities
