company_id,location_id,period_start,period_end,pct_of_work,record_count,source
1,FAB-1F,2023-10-01,2023-12-31,25.6,145,P6
1,SUW-MULTI,2023-10-01,2023-12-31,12.7,72,P6
1,SUE-1F,2023-10-01,2023-12-31,10.2,58,P6
1,SUW-3F,2023-10-01,2023-12-31,9.3,53,P6
1,SUE-3F,2023-10-01,2023-12-31,9.2,52,P6
1,SUE-4F,2023-10-01,2023-12-31,9.0,51,P6
1,SUW-4F,2023-10-01,2023-12-31,8.6,49,P6
1,SUE-2F,2023-10-01,2023-12-31,5.1,29,P6
1,SUW-1F,2023-10-01,2023-12-31,5.1,29,P6
1,SUP-MULTI,2023-10-01,2023-12-31,4.9,28,P6
1,SUE-MULTI,2023-10-01,2023-12-31,0.2,1,P6
1,SUW-4F,2024-01-01,2024-03-31,32.4,463,P6
1,SUE-4F,2024-01-01,2024-03-31,17.8,254,P6
1,SUW-1F,2024-01-01,2024-03-31,15.8,226,P6
1,FAB-3F,2024-01-01,2024-03-31,9.7,138,P6
1,SUE-1F,2024-01-01,2024-03-31,6.2,89,P6
1,SUW-3F,2024-01-01,2024-03-31,5.9,84,P6
1,FAB-1F,2024-01-01,2024-03-31,2.0,29,P6
1,FIZ-3F,2024-01-01,2024-03-31,2.0,29,P6
1,FIZ-4F,2024-01-01,2024-03-31,2.0,29,P6
1,SUE-3F,2024-01-01,2024-03-31,2.0,29,P6
1,SUE-MULTI,2024-01-01,2024-03-31,2.0,29,P6
1,SUW-2F,2024-01-01,2024-03-31,2.0,29,P6
1,SUW-3F,2024-04-01,2024-06-30,26.3,922,P6
1,SUE-3F,2024-04-01,2024-06-30,10.3,363,P6
1,SUW-4F,2024-04-01,2024-06-30,6.7,234,P6
1,SUE-4F,2024-04-01,2024-06-30,6.1,214,P6
1,FIZ-2F,2024-04-01,2024-06-30,6.0,212,P6
1,FAB-3F,2024-04-01,2024-06-30,5.8,205,P6
1,SUW-1F,2024-04-01,2024-06-30,4.9,172,P6
1,SUE-MULTI,2024-04-01,2024-06-30,4.8,167,P6
1,FIZ-3F,2024-04-01,2024-06-30,3.8,134,P6
1,MULTI-MULTI,2024-04-01,2024-06-30,3.8,133,P6
1,SUW-MULTI,2024-04-01,2024-06-30,3.8,133,P6
1,SUE-2F,2024-04-01,2024-06-30,3.2,111,P6
1,SUW-2F,2024-04-01,2024-06-30,2.6,93,P6
1,FIZ-1F,2024-04-01,2024-06-30,1.9,66,P6
1,MULTI-1F,2024-04-01,2024-06-30,1.9,65,P6
1,FAB-4F,2024-04-01,2024-06-30,1.6,55,P6
1,FIZ-MULTI,2024-04-01,2024-06-30,1.4,49,P6
1,SUE-6F,2024-04-01,2024-06-30,1.4,50,P6
1,FIZ-4F,2024-04-01,2024-06-30,1.2,41,P6
1,SUE-1F,2024-04-01,2024-06-30,0.9,33,P6
1,FAB-2F,2024-04-01,2024-06-30,0.8,29,P6
1,SUW-6F,2024-04-01,2024-06-30,0.7,24,P6
1,FAB-5F,2024-04-01,2024-06-30,0.1,2,P6
1,SUE-5F,2024-04-01,2024-06-30,0.1,3,P6
1,SUW-5F,2024-04-01,2024-06-30,0.1,2,P6
1,SUW-4F,2024-07-01,2024-09-30,12.6,238,P6
1,FAB-4F,2024-07-01,2024-09-30,12.5,236,P6
1,SUE-4F,2024-07-01,2024-09-30,10.1,191,P6
1,SUW-1F,2024-07-01,2024-09-30,8.8,166,P6
1,SUW-3F,2024-07-01,2024-09-30,8.8,166,P6
1,FAB-3F,2024-07-01,2024-09-30,8.4,159,P6
1,MULTI-1F,2024-07-01,2024-09-30,7.3,137,P6
1,SUE-MULTI,2024-07-01,2024-09-30,7.0,131,P6
1,SUW-MULTI,2024-07-01,2024-09-30,5.6,105,P6
1,FIZ-2F,2024-07-01,2024-09-30,4.2,79,P6
1,SUE-1F,2024-07-01,2024-09-30,4.1,78,P6
1,SUE-2F,2024-07-01,2024-09-30,3.9,74,P6
1,MULTI-MULTI,2024-07-01,2024-09-30,3.8,71,P6
1,SUW-5F,2024-07-01,2024-09-30,1.4,26,P6
1,FAB-MULTI,2024-07-01,2024-09-30,0.7,14,P6
1,FIZ-3F,2024-07-01,2024-09-30,0.2,3,P6
1,SUE-3F,2024-07-01,2024-09-30,0.2,3,P6
1,SUP-MULTI,2024-07-01,2024-09-30,0.2,3,P6
1,FAB-5F,2024-07-01,2024-09-30,0.1,2,P6
1,SUW-2F,2024-07-01,2024-09-30,0.1,2,P6
1,SUE-4F,2024-10-01,2024-12-31,20.3,61,P6
1,SUW-4F,2024-10-01,2024-12-31,19.3,58,P6
1,MULTI-MULTI,2024-10-01,2024-12-31,18.7,56,P6
1,SUW-3F,2024-10-01,2024-12-31,10.3,31,P6
1,SUW-MULTI,2024-10-01,2024-12-31,8.3,25,P6
1,SUE-3F,2024-10-01,2024-12-31,7.7,23,P6
1,SUW-1F,2024-10-01,2024-12-31,3.7,11,P6
1,FAB-MULTI,2024-10-01,2024-12-31,2.3,7,P6
1,FAB-3F,2024-10-01,2024-12-31,2.0,6,P6
1,SUE-2F,2024-10-01,2024-12-31,2.0,6,P6
1,SUP-MULTI,2024-10-01,2024-12-31,2.0,6,P6
1,SUE-MULTI,2024-10-01,2024-12-31,1.7,5,P6
1,SUE-1F,2024-10-01,2024-12-31,1.0,3,P6
1,FIZ-3F,2024-10-01,2024-12-31,0.7,2,P6
1,SUW-1F,2025-01-01,2025-03-31,35.9,37,P6
1,SUE-MULTI,2025-01-01,2025-03-31,25.2,26,P6
1,SUW-MULTI,2025-01-01,2025-03-31,23.3,24,P6
1,FAB-3F,2025-01-01,2025-03-31,4.9,5,P6
1,SUP-MULTI,2025-01-01,2025-03-31,4.9,5,P6
1,SUW-3F,2025-01-01,2025-03-31,4.9,5,P6
1,FAB-MULTI,2025-01-01,2025-03-31,1.0,1,P6
1,FAB-3F,2025-04-01,2025-06-30,31.0,9,P6
1,SUP-MULTI,2025-04-01,2025-06-30,17.2,5,P6
1,SUW-1F,2025-04-01,2025-06-30,17.2,5,P6
1,SUW-3F,2025-04-01,2025-06-30,17.2,5,P6
1,SUW-MULTI,2025-04-01,2025-06-30,10.3,3,P6
1,FAB-MULTI,2025-04-01,2025-06-30,6.9,2,P6
1,SUE-MULTI,2025-07-01,2025-09-30,36.5,19,P6
1,SUW-MULTI,2025-07-01,2025-09-30,30.8,16,P6
1,SUP-MULTI,2025-07-01,2025-09-30,15.4,8,P6
1,FAB-3F,2025-07-01,2025-09-30,5.8,3,P6
1,SUW-1F,2025-07-01,2025-09-30,5.8,3,P6
